,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
A Symonds,4,1,0,0,0,0,0,5,0,1,1,20.0
R Sharma,1,0,0,0,0,0,0,1,0,1,0,0.0
WPUJC Vaas,1,0,0,0,0,0,0,1,1,1,0,0.0
PP Ojha,0,2,0,0,1,0,0,3,0,1,6,200.0
A Mishra,2,1,1,0,0,0,1,5,0,2,9,180.0
DW Steyn,2,5,1,0,0,0,1,9,0,2,13,144.44
DT Christian,3,3,0,0,2,0,0,8,1,2,11,137.5
A Kumble,4,5,0,0,0,0,0,9,1,1,5,55.56
V Kohli,5,3,2,0,0,0,0,10,0,1,7,70.0
RE van der Merwe,0,1,0,1,1,0,0,3,0,1,8,266.67
PP Chawla,0,1,0,0,0,0,0,1,0,1,1,100.0
RJ Harris,3,1,0,0,0,0,0,4,1,1,1,25.0
P Kumar,1,0,0,0,2,0,0,3,0,1,8,266.67
S Aravind,3,0,0,0,0,0,0,3,0,1,0,0.0
B Lee,5,3,1,0,1,0,0,10,1,2,9,90.0
JD Unadkat,2,0,0,1,0,0,1,4,0,1,9,225.0
L Balaji,2,0,0,0,0,0,1,3,1,1,6,200.0
V Pratap Singh,0,1,1,0,1,0,0,3,0,1,7,233.33
SL Malinga,1,0,0,0,0,0,0,1,1,1,0,0.0
JP Duminy,0,1,0,0,0,0,1,2,0,1,7,350.0
DJ Hussey,1,0,0,0,0,0,0,1,0,1,0,0.0
SJ Srivastava,5,0,0,0,0,0,0,5,0,1,0,0.0
AM Nayar,1,1,0,0,1,0,1,4,1,1,11,275.0
S Sreesanth,2,1,0,0,0,0,0,3,0,2,1,33.33
P Parameswaran,2,1,0,0,0,0,0,3,0,1,1,33.33
R Vinay Kumar,8,7,1,0,2,0,0,18,1,2,17,94.44
RV Gomez,1,4,1,0,0,0,0,6,0,1,6,100.0
RA Jadeja,9,10,1,0,0,0,0,20,0,3,12,60.0
RP Singh,0,2,0,0,0,0,0,2,0,1,2,100.0
M Kartik,0,2,0,0,0,0,0,2,0,1,2,100.0
SC Ganguly,0,2,0,0,0,0,0,2,0,1,2,100.0
A Nehra,3,4,1,0,1,0,0,9,0,1,10,111.11
AC Thomas,2,2,0,0,2,0,0,6,1,1,10,166.67
JA Morkel,1,4,0,0,0,0,0,5,0,1,4,80.0
DJ Bravo,5,6,1,0,0,0,0,12,0,1,8,66.67
SB Jakati,2,6,1,0,0,0,0,9,0,1,8,88.89
R Ashwin,5,7,2,0,0,0,0,14,0,1,11,78.57
BW Hilfenhaus,2,1,0,0,1,0,1,5,0,1,11,220.0
AA Chavan,1,1,0,0,1,0,0,3,0,1,5,166.67
SR Watson,2,1,0,0,0,0,0,3,0,1,1,33.33
GB Hogg,3,3,1,0,0,0,0,7,0,2,5,71.43
Pankaj Singh,2,1,0,0,0,0,0,3,0,1,1,33.33
KK Cooper,4,2,0,0,0,0,0,6,0,1,2,33.33
A Singh,2,2,0,0,2,0,2,8,1,1,22,275.0
M Muralitharan,3,1,0,0,0,0,0,4,0,1,1,25.0
HV Patel,2,2,0,0,1,0,0,5,0,1,6,120.0
AB McDonald,0,2,0,0,0,0,0,2,0,1,2,100.0
DL Vettori,1,1,1,0,1,0,0,4,1,1,7,175.0
B Akhil,3,1,1,0,0,0,0,5,0,1,3,60.0
PJ Sangwan,0,1,0,0,0,0,0,1,0,1,1,100.0
R Bhatia,0,2,1,0,0,0,0,3,0,1,4,133.33
DE Bollinger,1,1,0,0,0,0,0,2,0,1,1,50.0
Harbhajan Singh,1,0,0,0,0,0,0,1,1,1,0,0.0
