,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
YK Pathan,3,2,0,0,0,0,0,5,0,2,2,40.0
SK Trivedi,2,4,1,0,2,0,2,11,1,2,26,236.36
SK Warne,10,4,3,0,2,0,0,19,1,3,18,94.74
RR Powar,1,0,0,0,0,0,0,1,0,1,0,0.0
PP Chawla,11,9,1,0,0,0,0,21,1,6,11,52.38
VRV Singh,0,1,0,0,0,0,0,1,0,1,1,100.0
S Sreesanth,10,5,0,0,0,0,0,15,1,4,5,33.33
Harmeet Singh,4,0,1,0,2,0,0,7,0,1,10,142.86
PP Ojha,3,2,0,0,0,0,0,5,0,1,2,40.0
DT Christian,5,4,0,0,0,0,0,9,0,2,4,44.44
A Mishra,3,2,0,0,1,0,0,6,1,1,6,100.0
DW Steyn,3,2,0,0,0,0,0,5,0,2,2,40.0
MM Patel,7,5,0,0,1,0,0,13,0,2,9,69.23
KA Pollard,3,11,0,0,2,0,0,16,1,3,19,118.75
JEC Franklin,0,3,0,0,0,0,0,3,0,1,3,100.0
AG Murtaza,0,3,0,0,1,0,0,4,0,1,7,175.0
SL Malinga,3,5,2,0,0,0,0,10,2,4,9,90.0
A Nehra,5,7,0,0,1,0,2,15,2,3,23,153.33
PJ Sangwan,1,2,2,0,0,0,0,5,0,1,6,120.0
DP Nannes,2,0,0,0,0,0,0,2,0,2,0,0.0
KW Richardson,2,2,4,0,0,0,0,8,0,1,10,125.0
JP Faulkner,1,2,0,0,1,0,0,4,0,1,6,150.0
PC Valthaty,1,2,1,0,1,0,1,6,0,1,14,233.33
SJ Srivastava,2,2,0,0,1,0,0,5,0,2,6,120.0
Yuvraj Singh,10,3,1,0,1,0,3,18,2,3,27,150.0
A Mithun,5,4,0,0,2,0,1,12,0,1,18,150.0
J Syed Mohammad,1,4,0,0,0,0,0,5,0,1,4,80.0
DL Vettori,8,3,2,0,1,0,0,14,1,2,11,78.57
UT Yadav,5,2,1,0,0,0,0,8,0,2,4,50.0
R Bhatia,4,4,0,0,0,0,0,8,0,3,4,50.0
A Kumble,6,4,0,0,1,0,3,14,1,3,26,185.71
ND Doshi,7,4,0,0,0,0,0,11,1,1,4,36.36
KP Pietersen,3,3,2,0,1,0,0,9,0,2,11,122.22
B Akhil,3,6,0,0,1,0,0,10,0,3,10,100.0
JH Kallis,4,2,0,0,0,0,0,6,1,2,2,33.33
SR Watson,1,1,0,0,0,0,0,2,0,1,1,50.0
