,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
A Mishra,24,18,6,0,7,0,6,61,1,11,94,154.1
MF Maharoof,12,4,1,0,2,0,1,20,2,5,20,100.0
VY Mahesh,1,2,0,0,0,0,0,3,0,1,2,66.67
GD McGrath,5,3,0,0,2,0,1,11,0,2,17,154.55
Mohammad Asif,0,2,0,0,0,0,0,2,0,1,2,100.0
S Vidyut,2,0,1,0,0,0,1,4,0,1,8,200.0
M Muralitharan,16,11,2,0,1,0,4,34,1,9,43,126.47
PP Chawla,7,12,2,0,0,0,1,22,3,6,22,100.0
SJ Srivastava,4,2,2,0,1,0,1,10,1,1,16,160.0
J Theron,2,4,1,0,0,0,0,7,0,2,6,85.71
P Kumar,9,4,4,0,5,0,0,22,1,6,32,145.45
Z Khan,8,7,1,1,4,0,1,22,1,5,34,154.55
VR Aaron,13,4,2,1,3,0,2,25,2,5,35,140.0
AB Agarkar,3,3,0,0,1,0,1,8,0,2,13,162.5
SS Sarkar,0,3,0,0,0,0,0,3,0,1,3,100.0
CK Langeveldt,6,2,0,0,0,0,0,8,1,2,2,25.0
LR Shukla,6,5,4,0,1,0,1,17,0,4,23,135.29
IK Pathan,8,6,0,0,3,0,0,17,0,4,18,105.88
DW Steyn,17,14,5,0,10,0,3,49,2,9,82,167.35
KV Sharma,8,10,2,0,1,0,7,28,1,5,60,214.29
B Kumar,16,20,2,0,2,0,3,43,3,11,50,116.28
AR Patel,12,11,0,0,0,0,2,25,0,7,23,92.0
Karanveer Singh,4,4,0,0,0,0,2,10,2,2,16,160.0
MG Johnson,6,4,0,0,2,0,0,12,1,3,12,100.0
R Dhawan,5,3,1,0,1,0,1,11,1,2,15,136.36
P Awana,3,3,0,0,2,0,0,8,0,3,11,137.5
Azhar Mahmood,1,3,0,0,0,0,0,4,1,2,3,75.0
R Sathish,1,2,0,0,3,0,2,8,0,1,26,325.0
AG Murtaza,3,10,2,0,1,0,3,19,0,2,36,189.47
R McLaren,5,2,0,0,3,0,1,11,0,1,20,181.82
SL Malinga,17,26,3,0,9,0,1,56,0,11,74,132.14
ST Jayasuriya,0,1,0,0,1,0,2,4,0,1,17,425.0
PV Tambe,3,3,1,0,1,0,0,8,1,2,9,112.5
DJ Bravo,10,13,1,0,2,0,0,26,1,7,23,88.46
CH Morris,10,11,1,0,4,0,0,26,1,5,29,111.54
M Ntini,1,1,0,0,0,0,0,2,0,1,1,50.0
JA Morkel,10,15,3,0,3,0,0,31,2,7,33,106.45
SB Jakati,16,10,1,0,1,0,2,30,2,5,28,93.33
R Ashwin,17,9,2,0,3,0,3,34,3,7,43,126.47
S Randiv,2,1,0,0,0,0,0,3,0,1,1,33.33
AB Dinda,7,7,0,0,3,0,0,17,1,4,19,111.76
M Ashwin,7,4,1,0,2,0,3,17,0,2,32,188.24
A Zampa,2,1,0,0,0,0,0,3,0,1,1,33.33
A Symonds,2,4,1,0,0,0,0,7,0,2,6,85.71
PP Ojha,18,13,4,0,6,0,8,49,3,8,93,189.8
R Sharma,5,6,1,0,3,0,3,18,0,2,38,211.11
WPUJC Vaas,3,7,0,0,1,0,4,15,0,2,35,233.33
A Kumble,3,4,0,1,0,0,0,8,1,3,7,87.5
RE van der Merwe,0,2,1,0,0,0,0,3,0,1,4,133.33
JH Kallis,7,9,0,0,1,0,0,17,0,3,13,76.47
R Vinay Kumar,20,13,1,1,6,0,4,45,4,11,66,146.67
D du Preez,2,1,0,0,1,0,0,4,1,1,5,125.0
Yuvraj Singh,4,4,3,0,0,0,5,16,0,4,40,250.0
AD Mathews,8,13,1,0,1,0,0,23,0,5,19,82.61
Imran Tahir,4,6,1,0,2,0,2,15,2,3,28,186.67
TG Southee,0,1,0,0,2,0,0,3,0,1,9,300.0
MJ McClenaghan,3,6,0,0,3,0,0,12,0,3,18,150.0
JJ Bumrah,4,4,0,0,0,0,1,9,0,4,10,111.11
AM Salvi,3,1,0,0,0,0,0,4,0,1,1,25.0
BE Hendricks,5,2,0,0,1,0,0,8,1,1,6,75.0
Gurkeerat Singh,0,2,0,0,0,0,1,3,0,1,8,266.67
Anureet Singh,1,4,0,0,3,0,0,8,0,2,16,200.0
B Geeves,1,2,0,0,2,0,0,5,0,1,10,200.0
MM Sharma,8,13,1,0,2,0,1,25,2,5,29,116.0
RS Bopara,1,3,0,0,0,0,1,5,0,1,9,180.0
S Sreesanth,3,4,0,0,0,0,1,8,0,3,10,125.0
BAW Mendis,0,0,1,0,1,0,2,4,0,1,18,450.0
SN Thakur,3,3,0,0,0,0,0,6,0,1,3,50.0
BB Sran,2,8,0,0,0,0,0,10,0,2,8,80.0
DS Kulkarni,10,6,3,0,2,0,0,21,1,4,20,95.24
JP Faulkner,3,6,0,0,1,0,1,11,0,2,16,145.45
SR Watson,8,7,1,0,6,0,1,23,1,4,39,169.57
STR Binny,5,2,0,0,2,0,1,10,0,2,16,160.0
KA Pollard,7,13,0,0,3,0,1,24,2,5,31,129.17
DR Smith,6,12,0,0,3,0,0,21,0,4,24,114.29
MM Patel,4,6,1,0,1,0,0,12,1,3,12,100.0
R Bhatia,4,5,0,0,1,0,0,10,1,1,9,90.0
Ankit Sharma,4,5,0,0,0,0,1,10,1,2,11,110.0
Harbhajan Singh,15,15,1,0,6,0,1,38,0,7,47,123.68
C Nanda,2,1,0,0,0,0,0,3,1,1,1,33.33
YS Chahal,10,7,2,0,0,0,0,19,2,4,11,57.89
RA Jadeja,5,17,2,0,4,0,2,30,0,5,49,163.33
SK Raina,4,4,1,0,1,0,0,10,0,2,10,100.0
S Aravind,7,8,1,0,3,0,1,20,1,3,28,140.0
A Mithun,3,1,0,0,1,0,1,6,0,1,11,183.33
CH Gayle,1,1,1,0,0,0,1,4,0,1,9,225.0
V Kohli,0,2,0,0,0,0,1,3,0,1,8,266.67
NM Coulter-Nile,5,3,0,0,4,0,0,12,1,2,19,158.33
Mohammed Shami,3,9,2,0,1,0,1,16,0,3,23,143.75
L Balaji,11,6,4,0,4,0,3,28,1,4,48,171.43
KJ Abbott,2,1,1,0,2,0,0,6,0,1,11,183.33
DJ Hooda,0,1,0,0,1,0,0,2,0,1,5,250.0
MC Henriques,6,9,3,1,1,0,0,20,2,5,22,110.0
Mustafizur Rahman,2,5,1,0,2,0,0,10,0,1,15,150.0
MJ Henry,0,2,0,0,0,0,0,2,0,1,2,100.0
VRV Singh,3,3,0,0,0,0,0,6,0,2,3,50.0
JR Hopes,3,4,0,0,3,0,0,10,1,2,16,160.0
DJ Hussey,1,2,0,0,2,0,0,5,0,1,10,200.0
SC Ganguly,3,1,0,0,1,0,2,7,0,2,17,242.86
Umar Gul,5,3,2,0,5,0,1,16,1,2,33,206.25
I Sharma,5,4,2,0,2,0,1,14,0,4,22,157.14
AA Chavan,1,1,1,0,0,0,1,4,0,1,9,225.0
GB Hogg,3,4,0,0,0,0,1,8,0,2,10,125.0
SK Trivedi,10,12,1,0,2,0,0,25,1,4,22,88.0
WD Parnell,10,7,2,0,4,0,1,24,2,4,33,137.5
AC Thomas,0,2,0,0,0,0,0,2,0,1,2,100.0
SM Pollock,1,2,0,0,0,0,0,3,0,2,2,66.67
A Nehra,10,5,2,0,4,0,2,23,1,6,37,160.87
HV Patel,1,2,0,0,0,0,1,4,0,2,8,200.0
MA Starc,1,3,1,0,0,0,0,5,0,1,5,100.0
A Singh,0,1,0,0,1,0,0,2,0,1,5,250.0
HH Pandya,0,3,0,0,1,0,0,4,0,2,7,175.0
RR Powar,1,1,1,0,0,0,1,4,1,2,9,225.0
IC Pandey,1,2,1,0,2,0,0,6,0,1,12,200.0
LJ Wright,1,1,0,0,0,0,1,3,0,1,7,233.33
RV Gomez,3,3,0,0,1,0,0,7,0,2,7,100.0
JD Unadkat,2,4,0,0,1,0,1,8,1,3,14,175.0
JO Holder,0,2,0,0,0,0,0,2,0,1,2,100.0
Parvez Rasool,0,1,0,0,2,0,2,5,0,1,21,420.0
Harmeet Singh,1,2,1,0,0,0,0,4,0,1,4,100.0
RJ Harris,2,1,0,0,0,0,0,3,1,1,1,33.33
RW Price,1,2,0,0,0,0,1,4,0,1,8,200.0
JEC Franklin,6,7,0,0,1,0,0,14,1,2,11,78.57
AN Ahmed,4,5,0,0,3,0,0,12,0,4,17,141.67
PJ Cummins,0,1,0,0,2,0,0,3,0,1,9,300.0
NLTC Perera,5,8,1,0,2,0,1,17,0,2,24,141.18
Anand Rajan,3,0,0,0,0,0,1,4,0,2,6,150.0
S Badree,1,2,1,0,0,0,0,4,0,1,4,100.0
S Nadeem,3,1,0,0,0,0,0,4,0,1,1,25.0
AD Russell,2,4,2,0,0,0,1,9,0,1,14,155.56
UT Yadav,11,9,0,0,3,0,0,23,2,7,21,91.3
J Botha,2,2,0,0,0,0,1,5,0,2,8,160.0
RP Singh,11,10,3,0,4,0,2,30,1,5,44,146.67
YA Abdulla,1,1,0,0,1,0,1,4,0,1,11,275.0
J Suchith,1,2,0,0,1,0,1,5,0,1,12,240.0
KK Cooper,3,2,0,0,0,0,0,5,1,2,2,40.0
S Ladda,2,0,1,0,0,0,2,5,0,1,14,280.0
