,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
A Singh,4,3,0,0,0,0,0,7,0,1,3,42.86
MM Patel,12,2,0,1,1,0,0,16,1,2,9,56.25
AM Nayar,0,3,0,0,0,0,0,3,0,1,3,100.0
SR Tendulkar,0,3,0,0,0,0,0,3,0,1,3,100.0
DJ Bravo,1,0,1,0,0,0,0,2,1,1,2,100.0
AD Mascarenhas,3,1,1,0,0,0,0,5,0,1,3,60.0
SK Warne,3,2,0,0,1,0,0,6,1,1,6,100.0
RA Jadeja,2,1,0,0,1,0,0,4,0,1,5,125.0
DP Nannes,6,0,0,0,0,0,0,6,0,1,0,0.0
A Nehra,5,2,0,0,0,0,0,7,0,1,2,28.57
PJ Sangwan,1,1,0,0,2,0,0,4,0,1,9,225.0
TM Dilshan,1,1,0,0,0,0,0,2,0,1,1,50.0
A Mishra,1,1,0,0,0,0,0,2,1,1,1,50.0
