,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
BJ Hodge,2,4,1,0,0,0,0,7,1,2,6,85.71
M Kartik,6,5,1,0,0,0,2,14,0,3,19,135.71
CH Gayle,4,8,1,0,1,0,0,14,0,3,14,100.0
I Sharma,7,5,0,1,3,0,0,16,1,5,20,125.0
SK Trivedi,18,14,3,1,0,0,4,40,2,7,47,117.5
YK Pathan,6,13,1,0,3,0,2,25,0,7,39,156.0
SK Warne,16,15,2,0,2,0,7,42,1,5,69,164.29
AP Dole,1,0,0,0,0,0,0,1,1,1,0,0.0
P Kumar,14,11,0,0,1,0,1,27,1,7,21,77.78
RG Sharma,4,9,2,0,3,0,0,18,0,4,25,138.89
Y Venugopal Rao,4,6,0,0,3,0,0,13,1,5,18,138.46
TL Suman,4,2,0,0,0,0,0,6,0,2,2,33.33
A Symonds,2,3,0,0,0,0,2,7,0,2,15,214.29
Shoaib Ahmed,1,1,0,0,0,0,0,2,1,1,1,50.0
SM Harwood,10,3,1,0,0,0,0,14,0,1,5,35.71
A Singh,2,1,0,0,0,0,0,3,1,1,1,33.33
RA Jadeja,11,7,2,0,1,0,0,21,1,5,15,71.43
DJ Bravo,9,4,1,0,1,0,0,15,2,6,10,66.67
Harbhajan Singh,28,23,6,0,1,0,1,59,1,11,45,76.27
JP Duminy,15,8,0,0,1,0,0,24,2,4,12,50.0
SL Malinga,14,8,2,0,7,0,0,31,3,7,40,129.03
KA Pollard,6,4,3,0,1,0,3,17,2,5,32,188.24
SM Pollock,1,1,0,0,1,0,1,4,1,1,11,275.0
L Balaji,9,13,2,0,2,0,1,27,2,6,31,114.81
P Amarnath,1,4,0,0,1,0,1,7,1,2,14,200.0
WPUJC Vaas,5,0,0,0,1,0,0,6,1,1,4,66.67
PC Valthaty,0,2,0,0,2,0,0,4,0,1,10,250.0
BA Bhatt,0,0,0,0,2,0,2,4,0,1,20,500.0
SJ Srivastava,2,0,0,0,0,0,0,2,1,1,0,0.0
R McLaren,0,1,0,0,0,0,0,1,0,1,1,100.0
AM Nayar,3,3,0,0,1,0,0,7,0,1,7,100.0
NJ Rimmington,3,1,0,0,1,0,0,5,0,1,5,100.0
RP Singh,1,2,0,0,0,0,0,3,1,3,2,66.67
RJ Harris,4,2,1,0,1,0,1,9,0,2,14,155.56
M Muralitharan,16,12,3,0,2,0,2,35,0,6,38,108.57
MC Henriques,2,2,1,0,2,0,2,9,1,2,24,266.67
R Vinay Kumar,5,3,0,0,1,0,0,9,1,2,7,77.78
PP Ojha,12,6,0,0,1,0,3,22,1,3,28,127.27
SC Ganguly,7,5,0,0,0,0,1,13,0,1,11,84.62
LR Shukla,3,1,0,0,1,0,1,6,0,1,11,183.33
SB Jakati,5,6,1,0,1,0,0,13,0,3,12,92.31
JA Morkel,3,1,2,0,2,0,1,9,1,2,19,211.11
SK Raina,22,22,1,1,5,0,0,51,2,8,47,92.16
Mohammad Hafeez,3,2,0,0,2,0,1,8,1,1,16,200.0
AB Dinda,3,3,1,0,4,0,3,14,0,4,39,278.57
DJ Hussey,1,3,1,0,0,0,2,7,0,2,17,242.86
S Randiv,8,5,1,0,1,0,0,15,0,1,11,73.33
R Ashwin,18,14,2,0,0,0,2,36,0,7,30,83.33
DE Bollinger,2,6,2,0,0,0,1,11,0,2,16,145.45
D Salunkhe,4,2,0,0,3,0,1,10,0,2,20,200.0
SR Watson,17,10,0,0,7,0,2,36,0,6,50,138.89
Pankaj Singh,0,3,0,0,3,0,1,7,0,2,21,300.0
MS Gony,8,4,1,0,0,0,0,13,1,2,6,46.15
M Ntini,0,1,0,0,0,0,0,1,0,1,1,100.0
DT Christian,10,5,1,0,0,0,1,17,2,3,13,76.47
DW Steyn,9,10,3,0,1,0,0,23,1,5,20,86.96
BA Stokes,6,1,1,0,1,0,1,10,0,1,13,130.0
Imran Tahir,10,6,3,0,2,0,3,24,0,2,38,158.33
SN Thakur,5,2,0,0,2,0,0,9,0,1,10,111.11
JD Unadkat,2,1,0,0,1,0,0,4,2,2,5,125.0
MM Sharma,6,11,2,0,4,0,2,25,1,5,43,172.0
GJ Maxwell,3,7,1,0,1,0,0,12,1,3,13,108.33
KC Cariappa,1,2,0,0,2,0,0,5,0,1,10,200.0
SP Narine,30,9,6,0,2,0,1,48,1,8,35,72.92
R Bhatia,11,13,1,0,2,0,3,30,0,7,41,136.67
JH Kallis,9,16,4,0,7,0,3,39,2,8,70,179.49
Mohammed Shami,12,12,0,0,4,0,2,30,0,4,40,133.33
A Mishra,16,9,0,0,2,0,1,28,2,6,23,82.14
A Nehra,7,2,0,0,0,0,0,9,0,2,2,22.22
MF Maharoof,7,1,0,0,1,0,1,10,1,3,11,110.0
PJ Sangwan,8,2,1,0,1,0,1,13,1,3,14,107.69
DL Vettori,7,8,0,0,2,0,2,19,0,4,28,147.37
TM Dilshan,1,1,0,0,0,0,0,2,0,1,1,50.0
M Morkel,12,5,3,0,1,0,1,22,0,5,21,95.45
UT Yadav,16,6,4,0,3,0,4,33,3,6,50,151.52
T Thushara,4,1,0,0,0,0,0,5,0,1,1,20.0
CRD Fernando,1,1,0,0,1,0,0,3,0,1,5,166.67
SD Chitnis,1,2,0,0,0,0,0,3,1,1,2,66.67
NM Coulter-Nile,4,5,0,0,0,0,0,9,0,2,5,55.56
J Yadav,1,4,1,0,1,0,0,7,0,2,10,142.86
CR Brathwaite,1,0,0,0,0,0,0,1,1,1,0,0.0
R Tewatia,3,2,0,0,1,0,1,7,0,1,12,171.43
PV Tambe,3,2,0,0,2,0,1,8,0,1,16,200.0
JP Faulkner,9,7,2,0,0,0,2,20,1,4,23,115.0
KW Richardson,2,2,0,0,1,0,3,8,2,2,24,300.0
KMDN Kulasekara,0,1,1,0,1,0,0,3,0,1,7,233.33
TG Southee,11,8,5,0,0,0,3,27,0,4,36,133.33
Shakib Al Hasan,5,3,0,0,0,0,0,8,1,3,3,37.5
B Lee,4,3,2,0,1,0,0,10,0,1,11,110.0
DP Nannes,5,2,0,0,0,0,1,8,0,1,8,100.0
D Kalyankrishna,2,0,0,0,0,0,0,2,0,1,0,0.0
SB Bangar,0,1,0,0,0,0,0,1,0,1,1,100.0
Shahid Afridi,0,2,1,0,0,0,0,3,0,1,4,133.33
DNT Zoysa,1,0,0,0,1,0,0,2,1,1,4,200.0
J Suchith,0,3,0,0,1,0,0,4,0,1,7,175.0
HH Pandya,8,2,0,0,2,0,0,12,1,2,10,83.33
MJ McClenaghan,6,8,3,0,3,0,2,22,1,4,38,172.73
MM Patel,3,0,0,0,0,0,1,4,2,3,6,150.0
A Kumble,6,7,1,0,1,0,3,18,1,3,31,172.22
Z Khan,6,2,3,0,1,0,0,12,2,2,12,100.0
