,0,1,2,3,4,5,6,Balls,Dismissal,No_Innings,Runs,SR
J Botha,1,0,0,0,0,0,0,1,0,1,0,0.0
GB Hogg,4,0,0,0,0,0,0,4,1,2,0,0.0
A Flintoff,1,2,0,0,0,0,0,3,1,1,2,66.67
PP Chawla,5,0,0,0,0,0,0,5,1,2,0,0.0
JW Hastings,2,0,0,0,1,0,0,3,1,1,4,133.33
DW Steyn,7,0,0,0,0,0,0,7,2,2,0,0.0
GD McGrath,0,0,0,0,1,0,0,1,0,1,4,400.0
FH Edwards,1,2,0,0,0,0,0,3,0,1,2,66.67
RP Singh,2,2,0,0,0,0,0,4,0,2,2,50.0
JJ Bumrah,1,2,0,0,0,0,0,3,0,1,2,66.67
KH Pandya,1,0,0,0,0,0,0,1,1,1,0,0.0
VRV Singh,3,0,0,0,0,0,0,3,0,1,0,0.0
IK Pathan,1,2,0,0,0,0,0,3,0,2,2,66.67
SK Warne,4,2,0,0,0,0,0,6,1,2,2,33.33
YK Pathan,1,1,0,0,0,0,0,2,0,1,1,50.0
AB Dinda,2,2,0,0,0,0,0,4,1,2,2,50.0
L Ablish,1,0,0,0,0,0,0,1,0,1,0,0.0
P Negi,0,2,0,0,0,0,0,2,0,2,2,100.0
BW Hilfenhaus,1,1,0,0,0,0,1,3,0,1,7,233.33
JA Morkel,0,2,0,0,0,0,0,2,0,1,2,100.0
JDP Oram,1,2,0,0,1,0,0,4,0,1,6,150.0
SC Ganguly,3,1,0,0,0,0,0,4,1,1,1,25.0
LR Shukla,2,2,0,0,0,0,0,4,0,1,2,50.0
SL Malinga,1,1,0,0,0,0,0,2,0,1,1,50.0
SB Jakati,4,2,1,0,1,0,0,8,0,1,8,100.0
DJ Bravo,0,2,0,0,0,0,0,2,0,1,2,100.0
DE Bollinger,6,2,2,0,1,0,0,11,1,2,10,90.91
R Ashwin,1,2,0,0,0,0,0,3,0,1,2,66.67
Harbhajan Singh,1,0,0,0,0,0,0,1,0,1,0,0.0
KV Sharma,4,1,0,0,0,0,0,5,1,1,1,20.0
HH Pandya,4,1,0,0,0,0,0,5,0,1,1,20.0
RN ten Doeschate,0,2,1,0,1,0,0,4,0,1,8,200.0
Shakib Al Hasan,0,3,0,0,0,0,0,3,0,1,3,100.0
JH Kallis,1,1,1,0,1,0,0,4,0,1,7,175.0
P Kumar,1,0,1,0,2,0,1,5,0,1,16,320.0
SK Trivedi,2,1,0,0,2,0,0,5,0,1,9,180.0
Sohail Tanvir,3,1,1,0,0,0,0,5,0,1,3,60.0
SR Watson,2,3,0,0,0,0,0,5,0,1,3,60.0
