,0,1,2,3,4,5,6,wickets
Mandeep Singh,219,168,37,1,61,1,10,33
AC Gilchrist,375,212,26,3,106,0,41,40
M Vohra,197,118,35,3,47,0,17,21
DJ Hussey,241,272,40,1,51,0,30,31
Gurkeerat Singh,68,68,11,0,23,0,8,15
R Sathish,44,41,13,0,11,0,1,9
Azhar Mahmood,69,68,11,0,23,0,9,11
PP Chawla,113,96,25,0,24,0,5,21
RJ Harris,19,15,10,0,3,0,2,4
P Kumar,83,62,15,0,12,0,8,19
P Awana,6,5,0,0,0,0,0,2
GC Smith,106,92,22,0,44,0,7,10
SA Asnodkar,91,60,9,0,36,0,7,7
Sohail Tanvir,6,6,0,0,2,0,0,2
SR Watson,399,279,52,2,117,0,55,42
M Kaif,41,23,7,0,6,0,2,7
YK Pathan,312,342,64,2,99,0,46,48
RA Jadeja,255,321,58,1,68,0,30,40
SK Warne,52,37,7,0,6,0,1,8
M Rawat,8,6,0,0,0,0,0,3
SK Trivedi,19,7,1,0,3,0,0,6
AM Rahane,468,489,71,4,162,0,31,47
RA Tripathi,47,50,8,1,20,0,6,7
SPD Smith,157,274,47,3,71,0,20,23
MK Tiwary,248,338,43,4,72,1,21,27
MS Dhoni,562,659,159,7,160,0,99,65
MA Agarwal,158,104,10,0,37,0,15,21
CH Gayle,634,393,41,2,171,0,151,51
V Kohli,672,784,128,6,204,0,90,62
AB de Villiers,360,580,113,7,171,0,102,42
LA Pomersbach,33,29,6,0,12,0,5,3
SS Tiwary,208,251,46,1,64,0,24,21
MJ Lumb,45,18,5,1,14,0,3,6
NV Ojha,328,223,32,7,65,0,42,40
FY Fazal,54,61,7,0,20,0,1,6
AC Voges,28,41,14,1,12,0,3,3
P Dogra,41,30,5,1,2,0,2,9
MK Pandey,327,338,61,0,92,0,35,35
JH Kallis,371,331,45,3,101,1,18,39
RV Uthappa,490,504,74,4,149,2,41,54
KP Pietersen,108,93,18,1,41,1,10,12
CL White,164,207,42,1,52,0,31,19
TL Suman,89,76,19,2,22,0,13,12
RG Sharma,612,719,102,2,202,0,102,73
A Symonds,184,173,35,3,46,0,31,12
DR Smith,435,276,40,1,113,0,49,44
WPUJC Vaas,21,26,7,0,1,0,3,5
Y Venugopal Rao,192,194,31,0,41,1,16,23
DB Ravi Teja,64,78,12,3,23,0,4,10
DJ Harris,31,18,0,0,6,0,4,1
S Dhawan,719,727,97,10,256,1,47,72
KC Sangakkara,349,351,52,3,131,1,16,39
G Gambhir,527,535,102,9,195,0,33,59
V Sehwag,400,258,44,1,151,0,54,45
TM Dilshan,232,185,25,1,66,0,11,15
MF Maharoof,22,17,14,0,4,0,6,6
Shoaib Malik,12,10,1,0,4,0,0,3
MS Bisla,124,65,13,1,32,0,7,14
SA Yadav,77,87,15,0,29,0,7,14
Shakib Al Hasan,85,118,20,0,26,0,11,14
R Vinay Kumar,52,42,15,0,8,0,7,14
SP Narine,46,18,0,0,18,0,5,8
PA Patel,456,352,64,2,145,1,20,58
ML Hayden,224,143,20,1,80,0,24,19
MEK Hussey,385,433,66,8,130,0,34,31
SK Raina,676,840,164,5,220,0,101,83
Ankit Sharma,21,16,3,0,6,0,2,4
KK Nair,167,145,28,2,55,0,11,21
STR Binny,114,108,21,4,30,0,16,19
JP Faulkner,61,59,20,0,9,0,11,13
DH Yagnik,41,34,8,0,19,0,2,6
R Bhatia,48,53,8,1,15,0,6,12
HH Gibbs,194,143,21,1,44,0,18,16
LPC Silva,3,3,3,0,2,0,1,1
SB Styris,18,23,2,0,5,0,2,4
CA Lynn,32,29,7,0,6,0,4,3
RJ Quiney,18,15,1,1,5,0,2,2
Niraj Patel,13,6,2,0,1,0,0,1
J Botha,54,50,11,0,15,0,1,13
T Henderson,1,0,0,0,0,0,0,0
MM Patel,9,8,1,0,0,0,0,1
A Singh,3,1,0,0,0,0,0,1
ST Jayasuriya,174,84,12,6,54,1,17,17
