,0,1,2,3,4,5,6,wickets
HH Gibbs,8,3,1,0,3,0,0,1
AC Gilchrist,5,5,2,0,1,0,1,2
VVS Laxman,4,2,1,0,0,0,0,0
A Symonds,7,7,3,0,2,0,0,1
RG Sharma,11,13,3,0,3,0,0,2
MD Mishra,3,3,1,0,0,0,0,1
TL Suman,7,9,1,0,0,0,0,1
RJ Harris,2,5,2,0,1,0,0,1
R Sharma,5,1,0,0,1,0,0,1
Jaskaran Singh,2,0,0,0,0,0,0,0
PP Ojha,1,1,1,0,0,0,0,1
GC Smith,10,6,2,0,4,0,0,2
NV Ojha,8,8,0,0,3,0,0,1
AA Jhunjhunwala,5,4,0,0,1,0,1,1
YK Pathan,25,28,3,0,14,0,9,1
P Dogra,7,17,2,0,2,0,2,1
AD Mascarenhas,2,3,3,0,0,0,0,1
A Uniyal,1,0,0,0,0,0,0,1
SK Warne,0,1,0,0,0,0,0,0
ST Jayasuriya,12,4,0,1,3,0,1,2
SR Tendulkar,81,73,21,0,35,0,1,6
AP Tare,19,2,2,0,5,0,1,3
SS Tiwary,57,82,19,1,14,0,12,7
AT Rayudu,33,44,10,0,15,0,4,5
R Sathish,22,18,8,1,9,0,0,2
Harbhajan Singh,5,6,2,0,1,0,1,3
R McLaren,0,4,0,0,2,0,0,0
S Dhawan,56,55,12,0,22,0,5,5
KA Pollard,25,25,7,1,13,0,9,6
RV Uthappa,9,7,2,0,5,0,1,2
G Gambhir,4,4,1,0,3,0,0,2
MK Pandey,18,19,3,0,6,0,2,2
AD Russell,8,7,1,0,4,0,2,1
SA Yadav,1,0,0,0,0,0,0,1
Shakib Al Hasan,7,5,0,0,2,0,0,1
Azhar Mahmood,6,0,1,0,1,0,0,1
PP Chawla,6,4,3,0,3,0,0,2
UT Yadav,6,2,0,0,4,0,1,0
M Morkel,0,2,1,0,0,0,0,0
CH Gayle,26,26,3,1,7,0,2,1
SC Ganguly,20,9,1,0,5,0,0,1
OA Shah,3,15,2,0,3,0,0,1
AD Mathews,13,3,4,0,2,0,0,1
PA Patel,9,2,1,0,1,0,0,1
ML Hayden,8,2,1,0,4,0,0,1
SK Raina,21,42,9,1,11,0,5,0
S Badrinath,16,23,4,0,6,0,0,0
RS Bopara,7,7,0,1,2,0,0,1
SE Marsh,18,19,4,0,6,0,1,1
MS Bisla,4,3,2,0,1,0,0,1
DPMD Jayawardene,7,10,1,0,2,0,0,1
Yuvraj Singh,13,6,1,0,4,0,0,2
IK Pathan,2,8,3,0,1,0,0,1
B Lee,2,1,1,0,0,0,0,1
K Goel,2,1,0,0,0,0,0,1
VS Malik,2,2,0,0,1,0,0,1
SJ Srivastava,0,1,0,0,0,0,0,0
DR Smith,8,8,0,0,4,0,0,1
F du Plessis,8,7,1,0,5,0,1,1
BB McCullum,7,2,0,0,0,0,2,1
DJ Hussey,11,12,1,0,2,0,3,0
JH Kallis,20,24,1,0,10,0,0,0
V Kohli,6,3,1,0,0,0,2,1
EJG Morgan,10,10,7,0,4,0,5,1
DA Warner,16,5,2,0,10,0,1,2
MC Henriques,11,6,1,0,3,0,0,1
MA Agarwal,5,1,0,0,1,0,1,1
SS Iyer,9,1,0,0,2,0,0,1
JP Duminy,18,22,5,1,6,0,3,1
KM Jadhav,4,1,2,0,0,0,1,1
NM Coulter-Nile,3,0,0,0,0,0,1,1
A Mishra,7,13,0,0,0,0,0,1
DJ Bravo,10,8,1,0,0,0,2,3
AM Rahane,26,28,11,0,14,0,5,2
SR Watson,42,31,6,0,16,0,5,2
KK Nair,23,17,8,0,9,0,2,3
JP Faulkner,11,8,4,0,4,0,2,2
C Madan,15,3,0,0,3,0,0,1
V Sehwag,8,8,0,0,3,0,0,1
KD Karthik,3,11,0,0,0,0,0,1
AB de Villiers,3,4,0,0,0,0,0,1
PD Collingwood,3,2,0,0,0,0,0,1
AB McDonald,7,19,4,0,0,0,1,0
PJ Sangwan,0,4,1,0,0,0,0,0
LMP Simmons,15,18,1,1,5,0,4,1
MEK Hussey,14,12,1,1,4,0,1,1
CJ Anderson,3,4,0,0,1,0,2,1
P Kumar,1,1,0,0,0,0,0,1
SPD Smith,14,22,2,0,11,0,2,2
SV Samson,10,4,0,1,1,0,3,2
CH Morris,1,8,2,0,2,0,3,1
Z Khan,2,1,2,0,3,0,1,0
DJ Hooda,4,3,2,0,0,0,0,1
STR Binny,0,3,0,0,0,0,0,0
