,0,1,2,3,4,5,6,wickets
L Ronchi,3,0,0,0,0,0,0,1
JP Duminy,13,24,0,0,1,0,4,1
PR Shah,14,7,2,0,0,0,0,1
SR Tendulkar,27,9,4,0,5,0,2,2
AM Nayar,19,20,0,0,2,0,0,2
DJ Bravo,15,13,1,0,2,0,2,1
Harbhajan Singh,5,6,2,0,0,0,1,2
AM Rahane,7,10,0,0,3,0,0,2
RR Raje,1,1,0,0,0,0,0,1
DS Kulkarni,3,1,0,0,0,0,0,1
ST Jayasuriya,6,2,0,0,1,0,0,1
GR Napier,7,5,3,0,1,0,0,1
Z Khan,0,2,0,0,0,0,0,0
G Gambhir,11,11,0,0,2,0,0,1
DA Warner,17,13,1,0,0,0,1,1
TM Dilshan,9,9,0,0,2,0,0,1
AB de Villiers,14,15,1,1,6,0,1,0
KD Karthik,1,1,0,0,1,0,0,0
CH Gayle,3,3,0,0,1,0,0,1
SC Ganguly,1,0,0,0,0,0,0,1
BJ Hodge,25,27,4,0,5,0,3,1
MN van Wyk,18,12,4,0,3,0,0,1
LR Shukla,2,4,1,0,0,0,0,1
BB McCullum,2,5,0,0,0,0,0,1
WP Saha,0,2,1,0,1,0,0,0
AC Gilchrist,1,0,0,0,0,0,0,1
VVS Laxman,7,0,0,0,0,0,0,1
HH Gibbs,3,0,0,0,0,0,0,1
RG Sharma,10,7,0,0,2,0,1,1
DR Smith,8,5,3,0,2,0,5,1
TL Suman,7,7,1,0,2,0,0,1
Y Venugopal Rao,4,2,0,0,0,0,0,1
RJ Harris,3,1,0,0,0,0,0,1
RP Singh,4,2,0,0,0,0,0,1
Shoaib Ahmed,1,1,0,0,0,0,0,0
PP Ojha,2,0,0,0,0,0,0,1
M Vijay,15,13,2,0,2,0,1,1
ML Hayden,15,5,0,0,5,0,3,1
MS Dhoni,6,24,2,0,6,0,1,0
SK Raina,3,10,3,0,1,0,2,1
JA Morkel,2,2,1,0,0,0,0,0
