,0,1,2,3,4,5,6,wickets
S Sohal,16,10,2,0,2,0,2,1
S Dhawan,36,13,2,0,8,0,0,5
KC Sangakkara,8,9,1,0,2,0,1,1
JP Duminy,17,15,4,1,0,0,1,3
DT Christian,3,6,2,0,1,0,0,0
B Chipli,2,1,0,0,1,0,0,0
AC Gilchrist,53,31,6,0,14,0,14,5
VVS Laxman,15,19,2,0,6,0,2,2
GC Smith,39,13,5,0,6,0,0,5
M Manhas,47,17,5,0,7,0,2,6
JD Ryder,40,15,8,1,19,0,6,7
RV Uthappa,74,63,11,1,15,0,13,8
Yuvraj Singh,70,54,16,0,15,0,13,4
L Ronchi,7,1,0,0,3,0,0,1
ST Jayasuriya,29,17,1,1,9,0,2,3
AM Rahane,7,0,0,0,0,0,0,1
SM Pollock,20,18,1,0,5,0,4,2
AM Nayar,48,33,9,0,7,0,5,5
DJ Bravo,17,15,3,1,6,0,2,4
MA Khote,6,3,0,0,1,0,0,0
MEK Hussey,14,3,1,0,1,0,0,1
M Vijay,28,23,5,1,3,0,4,3
S Badrinath,34,48,3,0,12,0,3,2
SK Raina,25,45,13,1,5,0,7,3
SE Marsh,3,1,0,0,0,0,0,1
PC Valthaty,4,0,1,0,1,0,0,1
KD Karthik,13,12,2,0,3,0,0,2
Sunny Singh,3,0,0,0,3,0,0,1
R McLaren,27,24,3,0,7,0,1,0
PP Chawla,16,9,3,0,0,0,0,1
P Kumar,4,4,0,0,0,0,0,2
NJ Rimmington,0,1,0,0,0,0,0,0
PA Patel,24,17,3,0,9,0,0,2
S Vidyut,7,4,1,0,1,0,1,1
JA Morkel,10,7,3,0,1,0,3,2
MS Dhoni,21,31,4,0,6,0,3,2
CK Kapugedera,6,6,1,0,0,0,0,1
Anirudh Singh,27,18,5,0,5,0,1,2
MD Mishra,26,25,3,0,3,0,3,5
RG Sharma,28,32,4,0,5,0,2,5
A Symonds,29,14,4,0,3,0,0,5
DR Smith,8,1,0,0,1,0,0,1
Y Venugopal Rao,27,20,1,0,4,0,4,3
RJ Harris,9,6,1,0,1,0,1,2
R Sharma,14,2,1,0,0,0,1,1
PP Ojha,5,1,0,0,0,0,0,2
G Gambhir,26,21,3,0,7,0,0,1
V Sehwag,12,19,2,0,9,0,3,3
AB de Villiers,9,3,2,0,2,0,1,0
Shoaib Malik,4,14,3,0,1,0,0,1
R Bhatia,6,4,0,0,0,0,1,1
PJ Sangwan,3,0,1,0,0,0,0,1
VY Mahesh,3,1,1,0,0,0,0,0
Mohammad Asif,1,0,0,0,0,0,0,1
GD McGrath,2,0,0,0,0,0,0,1
MK Pandey,48,37,4,0,11,0,4,5
SC Ganguly,19,12,0,0,0,0,1,3
CJ Ferguson,16,11,2,0,3,0,0,2
MR Marsh,20,16,3,0,2,0,3,2
WD Parnell,17,12,3,0,1,0,1,2
B Kumar,0,1,0,0,0,0,0,0
ML Hayden,30,7,0,0,3,0,1,2
S Anirudha,7,6,2,0,2,0,2,1
R Ashwin,2,2,0,0,1,0,0,0
JE Taylor,1,1,0,0,0,0,0,0
SR Tendulkar,66,36,4,0,23,0,0,4
AT Rayudu,29,48,6,0,7,0,1,3
SS Tiwary,17,19,1,0,5,0,4,3
KA Pollard,22,11,6,0,6,0,7,4
S Rana,5,8,1,0,2,0,0,1
SP Goswami,1,0,1,0,1,0,0,1
MK Tiwary,17,4,0,0,1,2,1,2
YK Pathan,30,22,5,0,6,0,5,2
SA Asnodkar,23,21,6,0,7,0,1,2
SR Watson,13,17,3,1,7,0,1,2
M Kaif,7,6,2,0,0,0,1,2
RA Jadeja,16,11,3,0,3,0,3,3
SK Warne,7,8,0,0,2,0,0,2
Sohail Tanvir,5,7,2,0,1,0,0,1
M Rawat,4,1,0,0,0,0,0,1
SK Trivedi,2,1,0,0,0,0,0,1
MM Patel,1,0,0,0,0,0,0,0
HH Gibbs,36,17,4,1,6,0,2,3
TL Suman,22,14,2,0,5,0,4,3
Jaskaran Singh,2,3,1,0,0,0,0,1
KAJ Roach,3,4,1,0,1,0,0,1
RP Singh,8,1,0,0,0,0,0,1
YV Takawale,36,12,3,0,3,1,1,2
DA Warner,13,4,3,0,6,0,2,1
IK Pathan,6,8,1,0,1,0,0,1
NV Ojha,4,5,0,0,0,0,1,1
MS Wade,2,1,1,0,0,0,0,1
AJ Finch,4,5,2,0,1,0,2,1
JR Hopes,0,1,1,0,1,0,1,0
WPUJC Vaas,1,0,0,0,0,0,0,1
JH Kallis,29,6,2,0,5,0,0,2
R Dravid,20,24,1,0,8,0,0,1
KP Pietersen,13,13,4,1,3,0,2,1
B Sumanth,10,6,1,0,2,0,0,1
Harmeet Singh,1,0,0,0,0,0,0,1
LRPL Taylor,10,19,1,0,1,0,1,0
V Kohli,4,1,2,0,1,0,0,1
R Vinay Kumar,1,7,1,0,0,0,0,1
DW Steyn,3,1,0,0,1,0,0,1
A Kumble,2,1,0,0,0,0,0,0
R Sathish,2,3,0,0,0,0,0,1
Harbhajan Singh,4,7,1,0,8,0,3,1
CA Pujara,12,2,0,0,2,0,0,1
BJ Hodge,23,17,1,1,3,0,3,2
OA Shah,16,20,4,0,3,0,3,0
AD Mathews,22,15,3,0,5,0,4,0
AA Jhunjhunwala,12,2,0,0,2,0,0,1
SB Wagh,1,0,0,0,0,0,0,1
AC Blizzard,3,2,0,0,1,0,0,1
Z Khan,2,1,0,0,0,0,0,1
