,0,1,2,3,4,5,6,wickets
Q de Kock,17,14,0,0,4,0,2,3
SS Iyer,25,16,3,0,4,0,5,2
KK Nair,28,18,4,0,6,0,0,3
SV Samson,27,18,8,0,2,0,0,2
RR Pant,12,9,2,0,2,0,1,2
JP Duminy,26,27,5,0,7,0,2,3
CH Morris,13,16,0,0,6,0,3,1
NM Coulter-Nile,1,2,0,0,0,0,0,0
RV Uthappa,6,10,2,0,2,0,2,1
G Gambhir,5,4,0,0,0,0,0,1
MK Pandey,6,13,1,0,3,0,1,0
AD Russell,4,3,0,0,1,0,2,1
YK Pathan,3,2,2,0,0,0,0,1
SA Yadav,0,2,0,0,0,0,0,0
M Vijay,40,41,7,0,9,0,4,2
HM Amla,23,6,1,0,4,0,1,2
WP Saha,13,19,5,0,6,0,1,2
GJ Maxwell,2,0,0,0,0,0,0,1
Gurkeerat Singh,7,17,3,0,4,0,3,1
AM Rahane,53,35,5,0,18,0,1,3
SPD Smith,4,5,0,0,2,0,0,1
STR Binny,2,10,1,0,1,0,0,0
JP Faulkner,2,2,0,0,1,0,0,0
RG Sharma,36,46,1,0,7,0,8,3
PA Patel,14,9,0,0,3,0,0,3
KH Pandya,19,16,6,2,10,0,8,3
AT Rayudu,17,14,3,0,3,0,1,3
JC Buttler,8,7,2,0,3,0,1,2
HH Pandya,9,7,0,0,0,0,0,1
KA Pollard,30,18,0,1,2,0,6,4
TG Southee,3,4,0,0,0,0,0,2
Harbhajan Singh,17,13,2,0,3,0,1,0
MJ McClenaghan,7,4,0,0,2,0,0,2
JJ Bumrah,6,4,0,0,1,0,0,1
UT Khawaja,23,22,2,0,7,0,1,3
GJ Bailey,42,21,0,0,6,0,1,2
SS Tiwary,14,6,3,0,2,0,1,2
MS Dhoni,25,20,8,1,5,0,7,2
IK Pathan,1,2,0,0,0,0,0,1
NLTC Perera,6,16,2,0,2,0,2,2
R Ashwin,7,14,2,0,3,0,0,1
DA Warner,59,39,13,0,23,0,7,4
S Dhawan,83,75,13,2,26,0,8,6
RS Bopara,17,27,2,1,2,0,4,2
KL Rahul,15,10,2,0,0,0,2,3
NV Ojha,28,16,5,0,6,0,2,4
EJG Morgan,17,10,2,0,2,0,1,2
A Ashish Reddy,4,8,2,0,1,0,2,1
KV Sharma,2,5,1,0,0,0,2,1
P Kumar,0,1,0,0,0,0,0,0
SK Raina,6,4,0,0,3,0,0,1
F du Plessis,10,9,1,0,1,0,4,1
S Badrinath,7,11,1,0,3,0,0,1
RA Jadeja,8,12,3,0,3,0,3,1
DJ Bravo,4,7,3,0,0,0,5,0
JA Morkel,3,0,1,0,0,0,0,0
MJ Guptill,19,16,0,2,2,0,3,1
MA Agarwal,4,3,0,0,0,0,1,2
A Mishra,6,1,0,0,0,0,0,2
S Nadeem,4,1,0,0,0,0,0,0
Imran Tahir,5,1,0,0,1,0,0,1
Z Khan,2,2,0,0,0,0,0,1
KS Williamson,20,20,1,0,3,0,0,2
Yuvraj Singh,23,23,4,0,4,0,4,3
MC Henriques,5,6,2,0,2,0,0,1
TL Suman,7,1,0,0,1,0,0,1
RE Levi,6,3,0,0,0,0,0,1
KD Karthik,2,3,0,0,1,0,0,1
JEC Franklin,1,1,1,0,1,0,0,0
A Zampa,1,0,0,0,0,0,0,1
DJ Harris,8,3,0,0,3,0,0,1
CL White,11,21,1,0,3,0,3,1
B Chipli,9,5,0,0,0,0,1,2
DT Christian,14,23,1,0,1,0,2,2
MS Gony,4,4,0,0,0,0,0,1
DB Ravi Teja,3,0,0,0,1,0,0,2
DW Steyn,5,3,2,0,0,0,0,2
Ankit Sharma,4,4,0,0,0,0,2,2
DA Miller,1,3,0,0,1,0,0,1
AR Patel,2,1,0,0,0,0,0,1
F Behardien,3,1,0,0,1,0,0,1
R Dhawan,0,1,2,0,0,0,1,0
KJ Abbott,0,1,0,0,0,0,0,0
UBT Chand,5,0,0,0,0,0,0,1
N Rana,19,7,0,0,0,0,3,1
DJ Hooda,1,2,0,0,0,0,2,1
B Kumar,1,1,0,0,0,0,0,1
BB Sran,0,1,0,0,0,0,0,0
KC Sangakkara,9,8,1,0,1,0,0,1
KM Jadhav,2,7,1,0,1,0,1,0
AD Mathews,1,9,0,0,0,0,1,0
