,0,1,2,3,4,5,6,wickets
AM Nayar,6,1,0,0,1,0,0,1
AM Rahane,6,2,1,1,2,0,0,1
SV Samson,11,2,1,0,0,0,2,1
SR Watson,4,1,0,0,0,0,1,1
SPD Smith,8,7,4,0,1,0,0,1
STR Binny,5,4,2,0,0,0,0,1
R Bhatia,7,11,1,0,1,0,1,1
JP Faulkner,1,0,0,0,1,0,0,1
TG Southee,3,0,0,0,1,0,0,1
DS Kulkarni,4,10,3,0,0,0,2,1
PV Tambe,0,2,0,0,0,0,0,0
JH Kallis,2,0,0,0,0,0,0,1
MK Pandey,20,16,6,0,5,0,0,1
G Gambhir,5,0,0,0,0,0,0,1
RV Uthappa,10,23,1,0,6,0,1,1
Shakib Al Hasan,4,14,1,0,2,0,1,0
YK Pathan,2,5,1,0,1,0,0,1
SA Yadav,1,0,0,0,2,0,0,0
MEK Hussey,13,5,2,0,2,0,0,2
AP Tare,23,10,3,1,7,0,0,3
AT Rayudu,19,37,5,0,6,0,0,3
RG Sharma,20,23,3,0,3,0,2,3
KA Pollard,23,30,4,1,4,0,6,3
CJ Anderson,26,24,4,0,5,0,1,3
Harbhajan Singh,9,3,1,0,1,0,0,3
Z Khan,4,2,0,0,0,0,1,1
SL Malinga,2,2,0,0,0,0,0,0
PP Ojha,4,1,0,0,0,0,0,1
JJ Bumrah,0,1,0,0,0,0,0,0
CM Gautam,4,3,0,0,2,0,0,0
Q de Kock,7,16,1,0,6,0,1,1
M Vijay,19,14,2,0,7,0,1,2
KP Pietersen,9,6,0,0,1,0,1,1
KD Karthik,16,25,5,0,6,0,2,2
MK Tiwary,4,9,2,0,3,0,1,1
JP Duminy,13,18,4,0,4,0,5,0
MA Agarwal,5,3,3,0,3,1,0,1
LRPL Taylor,6,2,0,0,1,0,0,1
JDS Neesham,8,2,0,0,0,0,1,1
BR Dunk,11,2,1,0,4,0,0,1
CA Pujara,14,4,1,0,1,0,0,1
V Sehwag,10,10,3,0,4,0,0,1
WP Saha,4,2,0,0,0,0,0,1
GJ Maxwell,2,2,2,0,0,0,0,1
DA Miller,10,6,2,0,4,0,0,1
GJ Bailey,3,12,0,0,1,0,0,0
R Dhawan,10,7,2,0,3,0,0,0
AJ Finch,24,25,4,1,11,0,4,1
S Dhawan,14,7,1,0,6,0,1,2
KL Rahul,9,22,6,0,3,0,0,1
DA Warner,34,41,12,0,4,0,7,1
DJG Sammy,4,0,0,0,1,0,1,1
NV Ojha,0,2,0,0,2,0,0,0
IK Pathan,0,1,0,0,0,0,0,0
CH Gayle,3,0,0,0,2,0,2,1
PA Patel,20,22,3,1,7,0,0,1
V Kohli,3,0,0,0,1,0,0,2
YV Takawale,7,0,0,0,0,0,0,1
Yuvraj Singh,14,15,1,0,3,0,1,2
AB de Villiers,26,26,5,0,5,0,1,1
JA Morkel,6,5,2,0,0,0,1,1
MA Starc,10,6,1,0,0,0,0,1
VR Aaron,6,7,2,0,0,0,0,0
AB Dinda,3,2,0,0,0,0,0,0
DR Smith,25,11,1,0,6,0,7,2
BB McCullum,26,25,4,0,8,0,2,1
SK Raina,9,3,1,0,0,0,0,2
F du Plessis,14,15,6,0,0,0,0,1
MS Dhoni,8,9,0,0,1,0,1,2
RA Jadeja,11,16,6,0,2,0,0,0
M Manhas,5,4,1,0,1,0,0,1
R Ashwin,10,5,0,0,1,0,0,0
NJ Maddinson,4,1,0,1,2,0,0,1
