,0,1,2,3,4,5,6,wickets
DA Warner,16,21,6,0,9,0,0,0
S Dhawan,6,2,0,0,4,0,0,1
MC Henriques,1,0,0,0,1,0,0,1
V Shankar,11,21,3,0,9,0,0,0
DR Smith,24,23,2,0,12,0,4,3
SK Raina,31,33,2,0,16,0,3,4
BB McCullum,15,8,1,0,8,0,2,2
KD Karthik,13,19,3,0,6,0,1,4
AJ Finch,28,27,3,0,7,0,6,3
RA Jadeja,14,23,3,0,9,0,0,0
SV Samson,3,2,0,0,2,0,0,1
KK Nair,5,4,0,0,5,0,1,1
RR Pant,1,0,0,0,1,0,0,1
SS Iyer,19,18,3,0,15,0,2,2
MN Samuels,3,1,0,0,0,0,0,0
CJ Anderson,3,2,0,0,1,0,0,1
CR Brathwaite,6,3,0,0,2,0,0,1
PJ Cummins,3,4,3,0,2,0,1,1
Mohammed Shami,1,0,0,0,1,0,0,0
A Mishra,0,0,0,0,2,0,0,0
RG Sharma,9,2,0,0,4,0,2,1
MJ Guptill,5,3,0,0,1,0,0,1
N Rana,10,16,1,0,7,0,4,1
KH Pandya,2,0,0,0,1,0,0,1
JC Buttler,12,13,4,0,3,0,0,1
KA Pollard,7,3,0,0,0,0,1,1
HH Pandya,4,3,0,0,1,0,0,1
Harbhajan Singh,3,3,0,0,0,0,0,1
R Vinay Kumar,0,1,0,0,0,0,0,0
Ishan Kishan,30,21,2,0,10,0,5,2
JP Faulkner,6,6,4,0,2,0,0,1
PJ Sangwan,1,0,0,0,0,0,0,1
Ankit Soni,6,0,0,0,0,0,0,1
P Kumar,1,1,0,0,0,0,0,1
MM Patel,1,0,0,0,0,0,0,1
RV Uthappa,11,7,0,0,3,0,1,2
G Gambhir,4,2,1,0,1,0,0,0
MK Pandey,2,1,0,0,0,0,0,1
PP Chawla,9,5,1,0,1,0,0,1
YK Pathan,15,18,0,0,3,0,1,1
Shakib Al Hasan,5,3,0,0,0,0,0,1
SA Yadav,5,7,0,0,1,0,1,1
JO Holder,4,3,0,0,1,0,1,1
SP Narine,5,2,0,0,0,0,0,0
M Morkel,0,1,0,0,0,0,0,0
