,0,1,2,3,4,5,6,wickets
NV Ojha,24,7,1,0,3,0,2,1
DA Warner,39,15,2,1,14,0,5,3
Y Venugopal Rao,17,9,2,0,3,0,2,1
S Sriram,4,2,1,0,0,0,0,1
IK Pathan,20,18,5,0,5,0,1,3
JR Hopes,3,3,0,0,1,0,0,1
Y Nagar,4,2,0,0,2,0,0,1
TR Birt,7,0,1,0,2,0,1,1
M Morkel,1,3,2,0,1,0,3,1
VR Aaron,5,0,0,0,0,0,0,0
S Dhawan,14,27,3,0,14,0,1,0
DB Ravi Teja,14,16,3,2,5,0,2,1
JP Duminy,3,6,0,0,0,0,1,1
CL White,1,7,4,0,0,0,0,0
CH Gayle,7,0,0,0,0,0,0,1
SS Tiwary,11,2,0,0,1,0,0,1
V Kohli,8,1,1,0,2,0,0,1
AB de Villiers,10,10,3,0,3,0,1,1
AUK Pathan,2,1,0,0,0,0,1,1
M Kaif,6,1,1,0,3,0,0,1
KB Arun Karthik,3,2,0,0,1,0,0,1
JJ van der Wath,2,2,1,0,0,0,0,1
A Mithun,3,2,1,0,0,0,1,1
CK Langeveldt,5,2,0,0,0,0,1,1
S Aravind,0,3,0,0,2,0,0,0
DPMD Jayawardene,58,33,11,0,19,0,5,3
UBT Chand,23,5,1,0,0,0,3,2
V Sehwag,10,6,0,0,6,0,0,1
BJ Rohrer,9,11,2,0,4,0,3,1
CM Gautam,2,4,0,0,2,0,0,0
AC Gilchrist,101,42,10,1,35,0,15,7
MD Mishra,15,4,0,0,4,0,0,1
TL Suman,14,13,0,0,3,0,3,1
RG Sharma,19,29,4,0,8,0,4,1
A Symonds,4,2,1,0,0,0,0,1
MR Marsh,5,5,0,0,1,0,1,1
B Sumanth,0,2,0,0,1,0,0,0
M Vijay,15,7,0,0,4,0,0,2
MEK Hussey,7,3,0,0,1,0,0,1
SK Raina,20,11,1,0,5,0,5,2
MS Dhoni,16,18,3,0,6,0,2,1
DJ Bravo,20,14,4,0,2,0,3,1
RA Jadeja,7,5,0,0,2,0,0,1
JA Morkel,3,8,1,0,3,0,1,1
S Anirudha,0,1,0,0,0,0,0,0
R Ashwin,1,0,0,0,0,0,0,0
Mandeep Singh,23,11,0,0,8,0,0,5
PC Valthaty,52,19,3,0,10,0,4,4
DJ Hussey,9,9,1,0,1,0,0,3
SD Chitnis,21,15,2,0,6,0,1,2
Azhar Mahmood,46,34,5,0,15,0,5,3
Gurkeerat Singh,4,4,0,0,4,0,1,2
PP Chawla,6,4,0,0,0,0,2,3
RJ Harris,1,5,1,0,1,0,1,1
P Kumar,8,1,1,0,0,0,0,2
N Saini,3,1,0,0,0,0,0,1
SE Marsh,100,80,6,0,41,0,13,5
DA Miller,11,10,0,0,4,0,4,1
M Vohra,2,2,0,0,3,0,1,0
ML Hayden,6,1,0,0,1,0,0,1
S Badrinath,16,11,1,0,7,0,2,1
KD Karthik,20,12,3,0,5,0,0,3
R Sathish,4,4,2,0,2,0,1,1
KC Sangakkara,26,17,3,0,14,0,1,2
Yuvraj Singh,13,9,1,0,1,0,1,2
GJ Maxwell,3,0,0,0,0,0,0,1
AP Tare,6,2,0,0,2,0,2,1
AT Rayudu,8,10,2,0,3,0,0,1
KA Pollard,11,6,3,0,1,0,1,1
R Dhawan,8,4,1,0,2,0,0,1
Harbhajan Singh,3,5,0,0,0,0,0,1
NM Coulter-Nile,2,3,0,0,0,0,1,1
SL Malinga,0,1,0,0,0,0,0,0
R McLaren,6,7,1,0,0,0,0,1
AM Nayar,4,3,0,0,0,0,0,1
BA Bhatt,5,0,0,0,0,0,0,0
