,0,1,2,3,4,5,6,wickets
PA Patel,13,12,2,0,6,0,3,2
JC Buttler,8,17,1,0,7,0,5,1
N Rana,11,16,2,0,0,0,7,0
HH Pandya,0,1,0,0,2,0,1,0
FY Fazal,9,2,1,0,3,0,0,1
R Dravid,3,1,0,0,0,0,0,1
AM Rahane,9,11,1,0,2,0,1,2
SR Watson,11,3,0,0,0,0,3,2
AL Menaria,16,7,3,0,3,0,1,2
PR Shah,3,1,0,0,1,0,0,1
JDP Oram,3,0,0,0,0,0,0,1
SK Warne,7,2,0,0,0,0,0,1
AA Chavan,2,1,0,0,0,0,0,0
SW Tait,2,6,0,0,1,0,0,0
ND Doshi,13,0,0,0,0,0,0,1
BB McCullum,22,11,1,0,3,0,6,2
DPMD Jayawardene,19,25,3,1,9,0,2,1
RA Jadeja,9,7,0,0,1,0,1,1
BJ Hodge,13,3,1,0,5,0,2,1
OA Shah,4,5,1,0,1,0,2,1
RV Gomez,1,2,0,0,0,0,0,1
R Vinay Kumar,0,1,0,0,0,0,0,1
MA Agarwal,4,0,0,0,0,0,0,1
SPD Smith,12,12,1,0,3,0,0,1
BA Stokes,6,22,1,0,2,0,3,1
MS Dhoni,8,5,0,0,0,0,0,1
MK Tiwary,2,16,0,0,3,0,2,0
DT Christian,2,3,0,0,2,0,1,1
HM Amla,39,58,8,0,14,0,10,1
SE Marsh,27,13,0,1,10,0,2,2
WP Saha,10,11,1,0,3,0,0,2
GJ Maxwell,21,21,0,0,10,0,11,1
MP Stoinis,2,1,0,0,0,0,0,1
AR Patel,15,17,2,0,1,0,2,2
M Vohra,12,13,0,1,5,0,2,2
DA Miller,12,10,2,0,1,0,2,0
Vishnu Vinod,8,3,0,0,1,0,0,1
AB de Villiers,16,19,2,0,3,0,9,0
KM Jadhav,3,1,0,0,0,0,0,1
Mandeep Singh,18,19,5,0,2,0,1,1
STR Binny,10,8,0,0,1,0,1,0
AC Gilchrist,11,5,0,0,1,0,0,1
PC Valthaty,6,1,0,0,1,0,2,1
KD Karthik,10,11,0,0,7,0,5,1
DJ Hussey,5,7,0,0,2,0,1,0
