,0,1,2,3,4,5,6,wickets
Ankit Sharma,15,6,1,0,4,0,1,1
SR Watson,19,11,2,0,3,0,4,1
AM Rahane,3,4,0,0,0,0,0,1
KK Nair,6,4,0,0,1,0,0,1
STR Binny,8,5,1,1,0,0,2,1
SPD Smith,3,3,1,0,1,0,0,1
JP Faulkner,3,1,0,0,0,0,0,1
DH Yagnik,2,4,0,0,0,0,0,0
R Bhatia,6,6,3,0,2,0,0,2
DR Smith,52,29,1,0,15,0,7,6
BB McCullum,22,19,4,0,6,0,5,3
SK Raina,34,33,7,0,10,0,2,4
MS Dhoni,38,46,13,2,6,0,6,3
RA Jadeja,4,14,4,0,1,0,2,0
F du Plessis,28,33,5,1,8,0,0,2
DJ Hussey,22,33,0,0,6,0,3,1
CH Gayle,71,46,4,0,6,0,7,3
PA Patel,10,2,0,0,2,0,0,1
V Kohli,22,20,4,0,4,0,2,3
AB de Villiers,13,17,4,0,2,0,4,3
Yuvraj Singh,11,9,5,0,0,0,4,1
S Rana,1,1,0,0,0,0,0,1
AN Ahmed,0,0,0,0,1,0,0,0
RV Uthappa,24,22,4,0,6,0,3,3
AJ Finch,11,14,3,1,2,0,4,2
MK Pandey,14,25,2,0,8,0,1,2
CA Pujara,9,5,0,0,0,0,0,1
MC Henriques,3,5,3,0,0,0,0,1
SS Tiwary,2,1,0,0,0,0,0,1
R Vinay Kumar,5,4,3,0,1,0,0,0
R Rampaul,3,0,0,0,0,0,0,1
A Mithun,1,0,1,0,0,0,0,1
M Kartik,1,0,0,0,0,0,0,1
JD Unadkat,0,1,0,0,0,0,0,0
G Gambhir,25,9,0,1,5,0,0,2
MS Bisla,7,1,0,0,0,0,0,2
JH Kallis,34,17,3,1,5,0,0,3
YK Pathan,35,32,4,1,10,0,8,3
RN ten Doeschate,8,21,1,0,6,0,1,1
MK Tiwary,16,8,2,0,3,0,0,2
DB Das,1,4,0,0,1,0,0,0
SMSM Senanayake,0,0,1,0,0,0,0,0
R Ashwin,6,9,1,0,1,0,0,1
Mandeep Singh,4,2,1,0,0,0,0,1
KD Karthik,13,8,2,0,4,0,0,1
SN Khan,5,9,3,0,4,0,0,1
D Wiese,3,2,2,0,0,0,1,1
HV Patel,1,2,0,0,0,0,0,1
MA Starc,0,1,0,0,0,0,0,0
S Aravind,1,0,0,0,0,0,0,0
DA Warner,13,12,6,0,12,0,3,1
S Dhawan,14,24,6,0,4,0,2,0
NV Ojha,6,10,0,1,0,0,1,1
DJG Sammy,3,0,0,0,0,0,0,1
Y Venugopal Rao,0,0,0,0,1,0,0,0
Shakib Al Hasan,1,0,0,0,0,0,0,1
SA Yadav,8,3,1,1,0,0,0,1
AD Russell,4,1,0,0,0,0,0,1
PP Chawla,1,1,0,0,0,0,0,1
SP Narine,0,1,0,0,0,0,0,0
MEK Hussey,13,25,2,1,3,0,2,1
P Negi,2,2,2,0,0,0,1,0
DJ Bravo,1,0,0,0,0,0,0,1
