,0,1,2,3,4,5,6,wickets
BB McCullum,28,15,2,0,4,0,5,4
SC Ganguly,10,1,0,0,0,0,0,2
Yashpal Singh,16,3,0,1,0,0,0,1
BJ Hodge,32,18,2,1,3,0,1,3
DJ Hussey,10,1,0,0,2,0,0,1
LR Shukla,25,14,6,0,3,0,2,2
SS Shaikh,4,2,0,0,1,0,0,0
AB Agarkar,7,17,1,0,0,0,0,0
NV Ojha,35,17,3,0,5,0,8,3
RJ Quiney,18,15,1,1,5,0,2,2
SA Asnodkar,5,0,0,0,1,0,0,1
Niraj Patel,13,6,2,0,1,0,0,1
J Botha,5,2,0,0,2,0,0,2
YK Pathan,20,10,1,0,5,0,1,3
RA Jadeja,23,27,5,0,10,0,2,4
T Henderson,1,0,0,0,0,0,0,0
SK Warne,16,10,2,0,1,0,0,1
MM Patel,1,5,0,0,0,0,0,0
A Singh,1,1,0,0,0,0,0,0
CH Gayle,30,22,3,0,8,0,4,1
S Sohal,8,3,0,0,0,0,0,2
K Goel,42,21,5,1,3,0,1,5
KC Sangakkara,51,66,7,0,10,0,2,7
SM Katich,19,9,0,0,3,0,0,2
DPMD Jayawardene,21,25,5,0,5,0,2,3
Yuvraj Singh,77,56,7,0,13,0,10,5
IK Pathan,28,22,8,0,10,0,1,5
PP Chawla,15,6,3,0,1,0,0,3
RR Powar,7,11,2,0,2,0,0,0
S Sreesanth,7,0,0,0,1,0,0,0
RS Bopara,31,45,3,0,6,0,5,3
WA Mota,8,6,2,0,0,0,0,2
JD Ryder,15,1,3,1,6,0,0,2
R Bishnoi,9,2,0,0,1,0,2,1
SP Goswami,34,20,3,1,6,0,0,2
JH Kallis,40,41,6,1,11,0,2,4
RV Uthappa,8,9,2,0,3,0,0,3
V Kohli,27,25,2,0,7,0,3,4
MV Boucher,7,8,3,0,3,0,1,2
RE van der Merwe,17,11,0,0,3,0,4,3
P Kumar,4,8,5,0,1,0,2,1
A Kumble,4,2,0,0,1,0,0,1
KP Appanna,1,0,0,0,0,0,0,0
ST Jayasuriya,20,9,4,0,0,0,0,3
SR Tendulkar,27,27,2,0,7,0,3,3
JP Duminy,50,43,10,1,8,0,2,3
S Dhawan,8,6,0,0,0,0,0,2
DJ Bravo,23,13,3,0,3,0,1,3
AM Nayar,13,16,6,0,5,0,2,3
Harbhajan Singh,7,11,1,0,2,0,2,2
Z Khan,2,4,0,0,0,0,0,0
PR Shah,0,1,0,0,0,0,0,0
T Kohli,3,1,0,0,0,0,0,1
G Gambhir,32,34,11,0,7,0,1,2
DA Warner,14,7,2,1,5,0,1,2
TM Dilshan,35,17,6,0,19,0,4,2
AB de Villiers,17,44,12,1,9,0,7,1
V Sehwag,8,9,0,0,2,0,0,2
KD Karthik,15,14,3,0,6,0,3,1
R Bhatia,1,0,0,0,0,0,0,1
A Mishra,1,2,0,0,0,0,0,1
GC Smith,22,20,5,0,15,0,1,2
SD Chitnis,6,2,0,0,1,0,0,1
TL Suman,5,3,0,0,0,0,0,1
AC Gilchrist,28,23,1,0,13,0,11,3
RG Sharma,14,15,1,0,1,0,1,3
DB Ravi Teja,21,18,1,0,4,0,0,2
A Symonds,7,5,6,0,3,0,2,1
DR Smith,10,10,4,0,3,0,3,3
Y Venugopal Rao,6,6,2,0,0,0,0,2
WPUJC Vaas,0,4,1,0,1,0,0,0
RP Singh,2,2,1,0,0,0,0,2
PP Ojha,4,0,0,0,0,0,0,1
Shoaib Ahmed,1,0,0,0,0,0,0,1
PA Patel,17,18,0,0,6,0,1,3
ML Hayden,30,40,9,0,18,0,6,3
SK Raina,32,29,4,0,11,0,3,4
MS Dhoni,20,27,3,0,2,0,1,4
A Flintoff,7,8,2,0,1,0,0,1
JA Morkel,8,15,1,0,3,0,1,3
S Badrinath,19,13,2,0,1,0,0,4
MS Gony,4,1,0,0,0,0,2,2
Joginder Sharma,1,0,2,0,0,0,0,1
M Muralitharan,2,1,0,0,1,0,0,1
HH Gibbs,37,45,5,0,12,0,4,1
VVS Laxman,2,4,0,0,0,0,0,2
FH Edwards,2,1,0,0,0,0,0,1
LA Pomersbach,16,12,2,0,1,0,1,1
B Lee,4,2,0,0,1,0,0,1
MK Tiwary,7,5,0,0,1,0,0,1
MN van Wyk,19,42,6,1,15,0,0,1
MC Henriques,9,8,4,0,2,0,1,0
WP Saha,2,8,4,0,0,0,1,1
AA Bilakhia,6,6,1,0,1,0,0,0
KP Pietersen,6,7,1,0,1,0,0,2
R Dravid,11,6,2,0,2,0,0,2
LRPL Taylor,30,29,5,0,6,0,3,2
Pankaj Singh,1,0,0,0,0,0,0,1
R Vinay Kumar,0,1,1,0,1,0,0,0
MK Pandey,0,2,0,0,0,0,0,0
JDP Oram,28,29,2,0,5,0,2,2
LA Carseldine,0,6,1,0,2,0,0,0
AS Raut,0,1,0,0,0,0,0,0
GJ Bailey,6,3,0,0,3,0,0,1
R Ashwin,10,4,0,0,1,0,0,1
L Balaji,5,2,0,0,0,0,0,1
T Thushara,4,1,0,0,0,0,0,1
M Vijay,5,3,1,0,0,0,0,1
SB Jakati,3,3,0,0,1,0,0,1
SS Tiwary,0,2,2,0,0,0,0,0
B Akhil,2,0,0,0,0,0,0,1
YV Takawale,12,6,2,0,2,0,0,1
AM Rahane,4,3,0,0,0,0,0,1
DS Kulkarni,4,1,0,0,0,0,0,1
C Nanda,1,0,0,0,0,0,0,1
SL Malinga,1,0,0,0,0,0,0,1
TM Srivastava,1,0,0,0,0,0,0,0
