,0,1,2,3,4,5,6,wickets
MA Agarwal,76,48,4,0,17,0,16,11
CH Gayle,489,274,21,0,116,0,125,36
V Kohli,541,536,85,5,165,0,82,52
AB de Villiers,279,364,42,2,101,0,81,33
SS Tiwary,96,89,11,0,21,0,8,9
M Kaif,21,14,7,0,4,0,0,3
DL Vettori,10,6,0,0,3,0,1,3
R Vinay Kumar,40,43,10,0,5,0,2,6
Z Khan,20,21,2,0,5,0,0,4
S Aravind,17,13,4,0,3,0,0,2
M Muralitharan,5,1,1,1,0,0,0,1
GC Smith,17,17,0,0,8,0,0,1
M Rawat,2,0,0,0,0,0,0,1
YK Pathan,59,48,9,0,17,0,14,6
SR Watson,90,67,3,0,27,0,13,13
DJ Harris,21,15,0,0,2,0,4,0
S Dhawan,74,86,4,1,24,0,5,5
CL White,33,37,10,0,8,0,9,5
KC Sangakkara,9,13,1,0,3,0,1,1
PA Patel,68,42,7,0,19,0,1,10
ML Hayden,32,11,3,0,7,0,0,1
MEK Hussey,37,34,3,0,12,0,3,5
SK Raina,57,42,3,0,12,0,10,7
MS Dhoni,59,62,10,1,29,0,18,5
KD Karthik,59,81,7,0,17,0,6,12
Mandeep Singh,72,66,9,0,24,1,7,10
DJG Sammy,9,8,0,0,0,0,1,2
SA Abbott,4,2,1,0,1,0,1,1
HV Patel,10,7,2,0,2,0,0,5
AN Ahmed,1,1,0,0,1,0,0,1
VR Aaron,10,5,1,0,1,0,2,1
YS Chahal,3,8,0,0,0,0,0,1
KM Jadhav,53,79,11,0,21,0,10,7
SN Khan,4,10,3,0,6,0,3,2
SE Marsh,32,29,2,0,10,0,1,5
JR Hopes,3,1,0,0,1,0,0,1
RR Sarwan,18,9,0,0,4,0,1,1
Yuvraj Singh,89,65,12,1,22,0,23,11
DPMD Jayawardene,25,15,1,1,5,0,1,1
IK Pathan,16,14,2,1,5,0,3,1
AM Rahane,62,66,4,1,30,0,8,5
R Dravid,102,97,15,0,30,0,6,15
STR Binny,27,31,5,1,10,0,6,7
BJ Hodge,16,15,0,0,1,0,0,3
DH Yagnik,2,1,0,0,1,0,0,1
JP Faulkner,10,6,4,0,3,0,3,1
A Chandila,2,4,0,0,0,0,0,0
S Sreesanth,2,0,0,0,0,0,0,1
SW Tait,2,1,0,0,0,0,0,1
SK Trivedi,5,1,1,0,0,0,0,2
JH Kallis,159,104,14,1,47,1,10,13
B Chipli,19,8,0,0,3,0,0,3
SP Goswami,29,24,5,0,8,0,1,2
Misbah-ul-Haq,13,16,3,0,3,0,4,5
B Akhil,5,6,0,0,1,0,0,3
P Kumar,53,21,2,0,8,0,6,8
JC Buttler,5,7,1,0,1,0,3,1
RG Sharma,59,62,8,0,15,0,8,9
MJ McClenaghan,1,0,0,0,0,0,0,1
KA Pollard,56,58,5,0,15,0,14,4
N Rana,16,8,1,0,1,0,1,2
KH Pandya,23,22,5,0,11,0,1,0
HH Pandya,5,2,1,1,0,0,3,0
MK Pandey,101,83,10,1,26,1,11,8
RV Uthappa,88,74,12,0,30,0,19,11
EJG Morgan,18,20,4,0,4,0,0,4
MV Boucher,32,26,2,1,6,0,1,6
W Jaffer,45,33,4,1,11,0,2,4
DT Patil,0,0,0,0,1,0,0,0
A Kumble,6,5,0,0,0,0,0,0
DW Steyn,9,6,0,0,1,0,0,4
AB McDonald,25,10,1,1,6,0,3,3
AUK Pathan,7,2,2,0,0,0,0,3
