,0,1,2,3,4,5,6,wickets
MA Agarwal,57,32,2,0,16,0,7,6
CH Gayle,40,40,4,0,12,0,12,5
V Kohli,92,108,24,3,18,0,8,9
AB de Villiers,43,51,21,2,24,0,4,5
LA Pomersbach,9,5,2,0,1,0,0,3
SS Tiwary,32,42,7,0,3,0,3,3
MK Pandey,27,13,3,0,6,1,1,5
JH Kallis,73,99,8,0,23,0,3,7
RV Uthappa,48,38,2,1,17,0,4,6
KP Pietersen,4,5,2,0,2,0,1,0
CL White,29,43,2,0,12,0,3,4
M Vijay,280,196,55,5,76,1,39,26
ML Hayden,83,75,10,0,29,0,12,8
MS Dhoni,259,349,84,5,75,0,52,36
SK Raina,330,399,73,6,116,1,45,39
MEK Hussey,242,283,50,7,90,0,14,18
JA Morkel,111,141,31,0,32,0,26,17
S Badrinath,149,154,31,0,45,0,7,19
R Ashwin,21,16,6,0,6,0,0,4
L Balaji,13,8,0,0,1,0,1,3
DE Bollinger,8,9,0,0,1,0,1,1
DR Smith,87,30,5,0,21,0,4,6
BB McCullum,135,74,14,0,39,0,20,13
F du Plessis,104,151,32,3,27,0,13,9
DJ Bravo,75,75,27,2,15,0,12,13
RA Jadeja,62,87,20,1,14,0,7,15
S Sohal,16,6,1,0,6,0,4,1
S Dhawan,59,67,9,2,22,0,0,4
B Chipli,4,7,2,2,0,0,0,1
KC Sangakkara,10,4,1,0,1,0,1,2
JP Duminy,3,8,3,0,2,0,0,2
DT Christian,9,14,1,0,2,0,1,1
A Mishra,19,7,3,0,2,0,0,4
I Sharma,0,3,1,0,0,0,0,0
MS Bisla,55,50,8,0,25,0,7,3
G Gambhir,64,63,15,2,19,0,2,6
EJG Morgan,13,12,1,0,3,0,2,1
YK Pathan,21,26,5,0,2,0,1,5
GC Smith,13,21,5,0,9,0,4,2
SA Asnodkar,11,9,0,0,5,0,2,0
Kamran Akmal,6,11,4,0,4,0,3,0
M Kaif,2,2,2,0,1,0,0,1
T Kohli,0,3,0,0,0,0,0,1
MK Tiwary,21,31,3,1,6,0,2,3
LR Shukla,23,26,4,0,6,0,3,4
Iqbal Abdulla,5,1,1,0,0,0,0,1
R Bhatia,2,0,0,0,0,0,0,1
SE Marsh,40,54,5,1,16,0,7,3
JR Hopes,3,4,4,0,1,0,1,2
K Goel,6,1,0,0,0,0,0,1
RR Sarwan,7,10,5,0,0,0,0,1
Yuvraj Singh,25,21,6,0,4,0,0,3
IK Pathan,29,31,8,0,6,0,5,2
DPMD Jayawardene,22,23,5,0,5,0,4,4
PP Chawla,13,3,2,0,1,0,1,3
VRV Singh,1,0,0,0,0,0,0,1
U Kaul,1,0,0,0,0,0,0,0
SR Tendulkar,27,31,4,0,14,0,1,4
AT Rayudu,15,30,2,0,1,0,4,3
KA Pollard,29,16,2,0,4,0,5,2
R Sathish,13,11,2,1,1,0,0,2
R McLaren,2,1,0,0,0,0,0,1
Harbhajan Singh,30,23,2,0,5,0,8,3
AN Ahmed,10,6,3,0,1,0,1,0
SP Goswami,13,4,1,0,1,0,0,1
R Dravid,53,47,10,0,18,0,1,4
Misbah-ul-Haq,3,2,1,0,0,0,0,1
MV Boucher,7,5,0,0,3,0,0,1
B Akhil,4,2,0,0,1,0,0,0
P Kumar,4,7,3,0,2,0,1,1
R Vinay Kumar,1,0,0,0,0,0,1,1
A Kumble,0,0,1,0,0,0,0,0
S Anirudha,33,29,5,0,6,0,2,4
CH Morris,4,11,6,0,0,0,1,0
JD Ryder,12,4,1,0,3,0,1,2
MD Mishra,5,1,2,0,1,0,0,1
M Manhas,26,27,2,0,2,0,1,1
NL McCullum,5,8,2,1,0,0,0,3
R Sharma,0,1,0,0,0,0,0,0
JE Taylor,1,0,1,0,0,0,0,0
M Kartik,2,4,2,0,0,0,0,1
AC Thomas,1,1,0,0,0,0,0,0
SR Watson,49,55,11,2,18,0,11,4
AM Rahane,24,14,6,0,8,0,0,4
DH Yagnik,4,4,0,0,1,0,0,1
STR Binny,7,14,4,1,3,0,1,0
BJ Hodge,21,23,6,0,4,0,2,1
DA Warner,50,51,12,2,6,0,4,6
KL Rahul,6,1,0,0,1,0,0,1
NV Ojha,40,36,2,0,11,0,10,4
RS Bopara,5,6,2,0,0,0,2,1
KS Williamson,4,12,2,0,1,0,1,0
KV Sharma,3,4,0,0,0,0,0,1
Parvez Rasool,0,2,0,0,0,0,0,0
V Sehwag,29,15,5,0,8,0,4,6
SB Styris,20,19,0,0,4,0,1,0
Mandeep Singh,27,29,4,0,7,0,1,3
DJ Hussey,13,7,2,0,3,0,1,4
DA Miller,13,23,5,0,7,0,2,2
Gurkeerat Singh,1,0,0,0,0,0,0,1
MS Gony,14,5,1,0,1,0,2,2
SA Yadav,14,10,1,0,1,0,0,1
