,0,1,2,3,4,5,6,wickets
PA Patel,17,4,2,0,8,0,0,2
JC Buttler,13,10,3,0,5,1,4,1
RG Sharma,24,28,5,0,8,0,3,1
N Rana,10,14,2,0,1,0,2,1
AT Rayudu,9,18,2,0,1,0,1,2
KH Pandya,3,3,0,0,0,0,0,1
KA Pollard,4,9,0,0,3,0,1,1
HH Pandya,5,7,0,0,1,0,4,1
TG Southee,1,1,0,0,0,0,1,0
AM Rahane,116,158,22,2,33,0,8,13
F du Plessis,9,8,1,0,1,0,0,3
KP Pietersen,1,0,0,0,0,0,0,1
SPD Smith,85,142,29,2,39,0,15,9
MS Dhoni,80,90,22,0,18,0,11,6
NLTC Perera,18,12,5,0,3,0,6,3
R Bhatia,8,15,5,0,1,0,2,2
R Ashwin,1,0,0,0,0,0,0,1
Ankit Sharma,2,4,1,0,1,0,0,0
M Ashwin,1,0,0,0,0,0,0,1
SS Tiwary,19,20,5,0,4,0,2,1
M Vijay,34,11,3,1,6,0,2,2
V Sehwag,25,22,0,0,6,0,2,3
WP Saha,28,21,6,1,2,0,5,4
DA Miller,17,8,1,0,3,0,1,2
GJ Maxwell,20,11,4,0,3,0,4,4
GJ Bailey,25,33,7,0,8,0,4,3
AR Patel,25,29,4,0,3,0,2,5
RV Uthappa,20,22,3,0,9,0,6,3
SA Yadav,26,25,1,0,8,0,4,2
G Gambhir,26,30,6,0,9,0,1,4
Shakib Al Hasan,6,3,0,0,0,0,0,1
YK Pathan,17,26,1,0,6,0,2,1
AD Russell,17,13,5,0,9,0,4,2
R Sathish,3,4,0,0,0,0,1,1
PP Chawla,1,2,1,0,2,0,0,1
UT Yadav,1,1,0,0,0,0,1,0
DR Smith,15,10,4,1,9,0,1,2
BB McCullum,16,20,2,0,10,0,4,2
SK Raina,7,20,7,0,2,0,0,2
KD Karthik,13,22,7,0,7,0,1,2
DJ Bravo,4,1,1,0,1,0,0,1
RA Jadeja,5,3,2,0,3,0,0,2
JP Faulkner,23,19,6,0,4,0,3,3
Ishan Kishan,15,3,2,0,3,0,2,2
RA Tripathi,55,38,7,0,24,0,5,4
MK Tiwary,17,22,3,0,7,0,1,2
BA Stokes,27,42,7,0,11,0,6,4
DT Christian,3,7,2,0,1,0,3,1
MA Agarwal,28,30,6,0,10,0,2,4
PSP Handscomb,6,6,0,0,0,0,0,1
V Kohli,47,65,10,0,11,0,3,3
KL Rahul,6,3,0,0,1,0,0,1
AB de Villiers,22,44,10,0,10,0,8,2
SR Watson,1,3,0,0,2,0,0,1
SN Khan,0,1,1,0,0,0,0,0
Gurkeerat Singh,4,5,0,0,0,0,1,1
MG Johnson,5,1,0,0,0,0,0,2
Anureet Singh,4,0,0,0,0,0,0,0
DA Warner,15,21,2,0,3,0,1,1
S Dhawan,14,10,0,0,5,0,0,1
KS Williamson,4,5,3,0,1,0,1,1
MC Henriques,6,11,4,0,6,0,2,0
DJ Hooda,14,12,6,0,3,0,4,2
TM Head,3,2,0,0,0,0,0,1
KM Jadhav,11,6,0,0,1,0,0,2
Sachin Baby,2,2,0,0,0,0,0,1
STR Binny,19,6,0,0,2,0,0,3
P Negi,4,3,0,0,0,0,0,1
AF Milne,4,3,1,0,0,0,0,1
S Badree,6,2,0,0,0,0,0,1
S Aravind,1,2,1,0,1,0,0,0
YS Chahal,6,2,1,0,0,0,0,0
SS Iyer,5,0,1,0,1,0,0,1
JP Duminy,8,7,1,0,3,0,0,0
Yuvraj Singh,19,12,2,0,5,0,3,1
AD Mathews,1,2,0,0,1,0,0,0
DL Chahar,2,2,0,0,0,0,2,1
A Zampa,5,1,0,0,1,0,0,1
AB Dinda,4,3,0,0,1,0,0,1
Imran Tahir,2,0,0,0,0,0,0,0
JA Morkel,3,4,0,0,0,0,2,1
MK Pandey,2,1,0,1,2,0,0,1
RN ten Doeschate,1,0,0,0,0,0,0,1
CH Gayle,18,5,0,0,4,0,1,1
Mandeep Singh,13,12,1,0,7,0,2,1
SP Narine,5,4,0,0,3,0,0,0
DM Bravo,2,2,0,0,1,0,0,0
AJ Finch,2,3,0,0,1,0,1,1
PJ Sangwan,1,1,0,0,0,0,0,1
Basil Thampi,3,2,0,0,0,0,0,1
Ankit Soni,1,0,0,0,0,0,0,1
SV Samson,26,29,9,1,8,0,5,3
KK Nair,16,4,1,0,2,0,1,2
CH Morris,6,4,3,0,4,0,3,1
DS Kulkarni,7,3,0,0,0,0,0,1
AP Tare,6,0,0,0,0,0,0,1
SW Billings,7,8,0,0,4,0,0,1
RR Pant,5,13,1,0,1,0,2,1
CJ Anderson,3,2,0,0,0,0,0,0
Karanveer Singh,2,1,0,0,1,0,0,0
MJ Guptill,1,0,0,0,0,0,0,1
SE Marsh,9,2,0,0,2,0,0,1
EJG Morgan,3,0,0,0,1,0,0,1
R Tewatia,2,0,0,0,1,0,0,1
Swapnil Singh,8,8,1,0,0,0,0,1
MM Sharma,7,4,1,0,0,0,0,1
I Sharma,4,1,0,0,0,0,0,1
