,0,1,2,3,4,5,6,wickets
BB McCullum,39,32,1,0,9,0,5,5
M Klinger,12,16,0,1,3,0,0,2
DPMD Jayawardene,46,45,6,0,9,0,3,4
PA Patel,28,14,1,1,8,0,1,4
BJ Hodge,28,35,7,1,11,0,2,4
RA Jadeja,38,39,3,0,8,0,4,3
B Akhil,3,3,2,0,0,0,1,1
R Vinay Kumar,10,15,0,0,2,0,1,2
RR Powar,1,0,0,0,0,0,0,1
S Sreesanth,3,0,0,0,0,0,0,1
RP Singh,1,1,0,0,0,0,0,1
RV Gomez,2,1,0,0,0,0,0,2
KM Jadhav,2,0,0,0,0,0,0,1
NLTC Perera,16,4,1,0,4,0,0,1
VVS Laxman,12,10,3,0,2,0,2,1
MEK Hussey,8,0,0,0,2,0,0,1
M Vijay,9,4,0,0,6,0,0,1
SK Raina,14,18,3,0,5,0,1,1
S Badrinath,4,9,3,0,1,0,0,1
MS Dhoni,7,4,0,0,1,0,1,0
JA Morkel,0,3,0,0,0,0,1,0
MA Agarwal,11,11,1,0,2,0,2,1
TM Dilshan,4,1,0,0,0,0,0,1
V Kohli,8,5,1,0,4,0,0,1
AB de Villiers,16,18,1,0,1,0,5,0
SS Tiwary,8,12,3,0,2,0,0,1
AUK Pathan,2,0,0,0,3,0,0,0
DA Warner,6,1,1,0,0,0,0,1
NV Ojha,3,0,0,0,0,0,0,1
Y Venugopal Rao,10,1,0,0,0,0,0,1
V Sehwag,20,12,3,0,8,0,5,1
Y Nagar,15,12,3,0,1,0,0,1
TR Birt,5,4,1,0,2,0,1,1
IK Pathan,2,3,0,0,1,0,1,0
RE van der Merwe,2,2,0,0,0,0,0,1
S Sohal,4,1,0,0,0,0,0,1
S Dhawan,6,2,1,0,0,0,0,1
B Chipli,8,1,0,1,0,0,0,1
KC Sangakkara,17,17,4,0,10,0,0,1
CL White,17,11,3,0,2,0,1,1
DT Christian,5,5,2,0,0,0,0,1
DB Ravi Teja,0,4,0,0,1,0,0,0
A Mishra,1,0,0,0,0,0,0,1
MS Gony,1,0,0,0,0,0,0,0
JH Kallis,16,17,4,0,5,0,0,1
EJG Morgan,23,16,3,0,8,0,2,1
G Gambhir,1,0,0,0,0,0,0,1
MK Tiwary,6,1,0,0,0,0,0,1
YK Pathan,3,7,1,0,2,0,0,1
B Lee,1,1,0,0,0,0,0,1
MV Boucher,1,1,2,0,0,0,0,1
R Bhatia,0,1,0,0,0,0,0,0
