,0,1,2,3,4,5,6,wickets
ST Jayasuriya,9,6,0,0,5,0,0,1
SR Tendulkar,14,26,1,1,7,0,0,0
S Dhawan,7,12,1,0,2,0,0,1
JP Duminy,1,5,0,0,1,0,0,1
DJ Bravo,2,1,0,0,1,0,0,1
AM Nayar,3,3,3,0,2,0,3,1
Harbhajan Singh,1,0,0,0,1,0,0,1
Z Khan,1,2,0,0,0,0,0,1
JD Ryder,3,0,0,0,0,0,0,2
LRPL Taylor,1,0,0,0,0,0,0,1
KP Pietersen,24,13,5,0,5,0,0,2
RV Uthappa,18,11,0,0,1,0,0,2
R Dravid,25,28,8,0,13,0,3,2
V Kohli,18,11,7,0,7,0,0,2
B Akhil,5,1,2,0,1,0,0,1
P Kumar,9,4,0,0,0,0,3,1
R Vinay Kumar,0,0,0,0,2,0,0,0
CH Gayle,36,8,1,0,6,0,5,3
BB McCullum,9,3,1,0,0,0,0,2
LR Shukla,8,7,2,0,1,0,1,2
BJ Hodge,18,18,1,0,4,0,0,2
SC Ganguly,23,15,2,0,4,0,2,2
SB Bangar,7,2,0,0,0,0,0,1
Yashpal Singh,8,6,1,0,3,0,0,1
AB Agarkar,1,2,0,0,0,0,1,1
I Sharma,6,2,1,0,0,0,1,2
YK Pathan,17,7,2,0,4,0,2,2
JH Kallis,8,3,0,0,3,0,0,1
R Bishnoi,1,1,0,0,0,0,0,1
KV Sharma,2,1,0,0,0,0,0,1
A Kumble,0,1,0,0,0,0,0,0
AC Gilchrist,24,17,1,1,8,0,5,2
HH Gibbs,10,13,2,1,6,0,2,1
VVS Laxman,13,5,0,0,1,0,1,2
RG Sharma,27,20,5,0,4,0,7,1
SB Styris,1,4,2,0,0,0,1,1
Y Venugopal Rao,6,5,2,0,0,0,0,0
DB Ravi Teja,1,2,1,0,1,0,0,1
FH Edwards,1,0,0,1,0,0,0,0
RS Bopara,19,9,2,0,2,0,2,3
K Goel,9,6,1,0,3,0,3,1
KC Sangakkara,28,24,3,0,8,0,1,2
Yuvraj Singh,10,6,0,0,0,0,2,2
DPMD Jayawardene,8,5,2,0,1,0,0,2
IK Pathan,18,14,4,1,2,0,2,3
A Chopra,15,3,0,0,2,0,0,1
MC Henriques,4,3,0,1,0,0,0,1
M Kartik,1,8,1,0,0,0,0,0
AB Dinda,1,0,1,0,0,0,0,1
PP Chawla,5,0,1,0,1,0,0,0
WA Mota,1,1,0,0,0,0,0,0
SA Asnodkar,5,3,0,0,0,0,0,2
GC Smith,16,4,0,0,0,0,0,2
RJ Quiney,5,1,1,0,1,0,0,1
AD Mascarenhas,2,0,0,0,1,0,0,2
RA Jadeja,25,21,5,1,2,0,1,2
AS Raut,3,1,0,0,0,0,0,1
SK Warne,19,19,3,0,3,0,0,1
M Rawat,5,8,0,0,0,0,0,0
G Gambhir,6,5,1,0,2,0,0,0
V Sehwag,8,2,1,0,4,0,3,0
PA Patel,2,0,0,0,0,0,0,1
SK Raina,5,2,1,0,1,0,0,1
ML Hayden,14,14,0,0,6,0,1,1
A Flintoff,14,7,0,1,2,0,1,1
MS Dhoni,5,16,2,0,1,0,2,1
JDP Oram,3,2,0,0,0,0,1,1
S Badrinath,2,0,0,0,0,0,0,1
Joginder Sharma,5,8,1,0,0,0,1,0
T Thushara,2,1,0,0,0,0,0,0
Niraj Patel,15,4,0,0,0,0,0,1
T Henderson,10,3,1,0,0,0,1,1
MM Patel,2,0,0,0,0,0,0,1
Kamran Khan,3,1,1,0,0,0,0,1
