,0,1,2,3,4,5,6,wickets
RJ Quiney,7,2,0,0,1,0,0,1
GC Smith,5,0,0,0,0,0,0,1
NV Ojha,12,3,1,0,1,0,0,1
J Botha,10,16,3,1,3,0,0,1
RA Jadeja,8,5,2,1,3,0,0,1
YK Pathan,4,1,0,0,0,0,0,1
AS Raut,6,4,2,1,0,0,0,1
A Singh,1,0,0,0,0,0,0,1
SK Trivedi,6,4,1,0,0,0,0,0
SK Warne,2,0,0,0,0,0,1,1
MM Patel,2,3,0,0,5,0,0,0
S Sohal,9,3,0,0,0,0,0,1
SM Katich,4,2,0,0,3,0,1,1
LA Pomersbach,5,1,0,0,2,0,0,1
Yuvraj Singh,19,10,2,0,1,0,0,1
KC Sangakkara,27,11,4,0,6,0,0,0
IK Pathan,7,1,1,0,0,0,3,0
G Gambhir,9,6,3,0,1,0,0,2
V Sehwag,13,3,0,0,2,0,0,2
AB de Villiers,20,27,9,1,9,0,1,1
TM Dilshan,30,26,3,1,2,0,0,2
KD Karthik,11,14,11,1,1,0,2,1
M Manhas,13,8,5,0,2,0,0,1
MF Maharoof,6,1,1,0,0,0,0,1
DL Vettori,1,1,0,0,0,0,0,1
R Bhatia,1,0,0,0,0,0,0,1
PJ Sangwan,1,3,1,0,0,0,0,0
A Nehra,0,1,0,0,0,0,0,0
