,0,1,2,3,4,5,6,wickets
MJ Lumb,13,7,3,0,7,0,0,1
NV Ojha,15,13,2,0,6,0,0,2
FY Fazal,15,19,0,0,5,0,1,1
YK Pathan,21,26,6,0,8,0,4,4
AC Voges,5,8,4,1,5,0,1,1
P Dogra,3,7,0,0,0,0,0,2
AC Gilchrist,98,84,15,1,34,0,4,11
HH Gibbs,17,10,2,0,3,0,3,1
RG Sharma,40,37,13,0,11,0,7,6
Y Venugopal Rao,3,2,0,0,0,0,0,1
LPC Silva,1,3,3,0,2,0,1,0
SB Styris,1,1,0,0,0,0,0,0
LMP Simmons,45,40,9,1,23,0,3,1
PA Patel,62,63,12,0,25,1,7,4
KA Pollard,24,19,10,0,3,0,2,4
AT Rayudu,27,48,9,0,16,0,6,5
AC Blizzard,4,3,0,0,3,0,0,1
SR Tendulkar,24,25,6,0,8,0,0,3
A Symonds,4,1,0,1,1,0,0,0
TL Suman,2,2,1,0,0,0,0,1
Harbhajan Singh,8,5,1,0,2,0,1,4
DS Kulkarni,17,4,0,0,0,0,0,1
MM Patel,1,0,0,0,0,0,0,1
CH Gayle,53,30,13,1,18,0,8,4
V Kohli,40,34,9,0,14,0,2,6
AB de Villiers,33,54,13,1,16,0,4,3
Mandeep Singh,85,84,26,2,30,0,2,15
KD Karthik,57,75,10,2,29,0,4,9
SN Khan,2,4,0,0,0,0,0,1
D Wiese,1,4,0,0,0,0,0,0
AM Rahane,47,33,5,1,8,0,3,3
KK Nair,17,16,4,1,3,0,1,3
SV Samson,40,49,8,0,12,0,3,3
SR Watson,26,38,2,0,12,0,4,6
STR Binny,15,14,3,1,2,0,1,3
R Tewatia,7,7,3,0,3,0,1,1
BJ Hodge,16,15,5,1,4,0,4,3
JP Faulkner,2,5,1,0,1,0,4,0
KK Cooper,1,0,1,0,0,0,0,1
VS Malik,1,1,0,0,0,0,0,0
Azhar Mahmood,23,30,7,0,7,0,4,5
M Vohra,119,77,22,4,35,0,7,15
DA Miller,95,144,39,1,31,0,26,13
N Saini,33,14,5,0,3,0,0,4
SE Marsh,309,334,49,3,111,1,29,25
DJ Hussey,93,105,28,0,23,0,14,10
SD Chitnis,10,10,1,0,2,0,0,2
PP Chawla,41,32,6,0,16,0,2,9
Gurkeerat Singh,52,41,12,0,19,0,1,7
AB Barath,13,9,1,0,4,0,1,1
DPMD Jayawardene,32,41,8,0,10,0,4,8
KC Sangakkara,83,101,17,2,55,1,7,12
Yuvraj Singh,92,94,11,0,31,0,24,13
IK Pathan,23,45,6,0,10,1,3,6
RS Sodhi,1,0,0,0,1,0,0,0
K Goel,35,22,3,0,5,0,3,3
RR Sarwan,3,5,1,0,0,0,0,1
S Sohal,4,0,0,0,0,0,0,1
B Lee,8,7,0,0,3,0,1,1
S Sreesanth,11,3,2,0,2,0,0,1
VRV Singh,1,0,0,0,1,0,0,0
DR Smith,11,14,2,0,8,0,4,1
Ishan Kishan,10,14,3,0,5,0,0,2
SK Raina,28,35,7,1,11,0,6,4
AJ Finch,29,36,6,0,20,0,2,3
RA Jadeja,9,7,4,0,0,0,0,0
M Vijay,141,126,26,5,44,0,11,9
V Sehwag,29,6,0,0,9,0,3,6
GJ Maxwell,61,54,19,0,13,0,10,11
GJ Bailey,29,42,17,0,10,0,3,4
WP Saha,88,124,36,0,28,0,8,13
AR Patel,29,52,12,0,6,0,5,7
MG Johnson,4,7,0,0,0,0,1,2
JD Ryder,20,6,0,0,4,0,0,2
MK Pandey,39,41,7,0,8,0,0,4
RV Uthappa,47,42,15,0,19,0,4,8
CJ Ferguson,9,6,0,0,0,0,0,0
AA Jhunjhunwala,3,0,0,0,0,0,0,1
MR Marsh,4,2,0,0,0,0,0,0
JH Kallis,16,17,1,1,3,0,1,2
KP Pietersen,32,41,7,2,18,0,1,3
CL White,18,31,6,0,11,0,1,2
MEK Hussey,40,45,11,0,19,0,11,2
