,0,1,2,3,4,5,6,wickets
RV Uthappa,65,49,8,0,14,0,7,6
G Gambhir,55,45,10,1,21,0,2,5
MK Pandey,60,57,10,2,12,0,3,4
YK Pathan,36,52,12,0,12,0,14,2
RN ten Doeschate,6,10,1,0,2,0,1,1
Mandeep Singh,37,18,9,0,14,0,3,4
SE Marsh,44,46,7,0,17,0,3,3
N Saini,2,2,0,0,0,0,0,1
DJ Hussey,23,31,5,0,6,0,5,2
Azhar Mahmood,5,4,1,0,3,0,0,2
DA Miller,35,41,11,0,7,0,10,2
SD Chitnis,0,4,1,0,0,0,0,0
HM Amla,1,0,0,0,0,0,0,1
GJ Maxwell,23,7,1,0,5,0,6,5
M Vohra,41,31,10,2,19,0,9,4
EJG Morgan,78,66,13,0,10,0,10,10
WP Saha,16,11,2,0,8,0,2,3
AR Patel,11,22,3,0,3,0,3,2
MM Sharma,2,2,1,0,0,0,1,1
KC Cariappa,4,1,0,0,0,0,0,1
I Sharma,5,4,0,0,0,0,0,1
Sandeep Sharma,1,3,1,0,0,0,0,0
S Dhawan,381,367,57,4,122,2,25,34
DA Warner,254,256,61,5,110,0,56,19
NV Ojha,110,96,14,4,17,0,23,12
AJ Finch,64,59,14,0,14,0,3,5
DJG Sammy,32,29,7,0,1,0,6,3
LMP Simmons,55,32,8,0,9,0,6,4
PA Patel,121,96,11,1,36,0,3,14
N Rana,9,1,0,0,2,0,0,1
RG Sharma,102,117,21,0,45,0,15,9
HH Pandya,21,14,2,1,0,0,1,3
KA Pollard,19,19,0,1,1,0,1,3
KV Sharma,31,40,7,0,5,0,2,6
Harbhajan Singh,6,2,0,0,0,0,0,0
MJ McClenaghan,0,0,1,0,0,0,0,0
DB Ravi Teja,59,73,10,0,19,0,5,9
KC Sangakkara,104,108,12,0,28,0,1,16
JP Duminy,62,104,16,0,12,0,11,7
DT Christian,29,41,10,0,8,0,5,8
B Chipli,28,40,4,0,13,0,3,4
S Sohal,34,18,4,1,9,1,1,4
A Mishra,14,24,3,0,5,0,0,3
DW Steyn,22,20,5,0,6,0,1,6
CM Gautam,2,1,0,0,0,0,0,1
AT Rayudu,55,63,14,0,15,0,4,4
CH Gayle,31,12,6,0,10,0,9,4
