,0,1,2,3,4,5,6,wickets
Mandeep Singh,15,12,2,0,5,0,0,2
AC Gilchrist,30,24,2,0,12,0,2,3
M Vohra,3,3,0,0,0,0,0,0
DJ Hussey,19,36,9,0,6,0,3,4
Gurkeerat Singh,9,4,1,0,1,0,0,1
R Sathish,9,7,2,0,2,0,0,2
Azhar Mahmood,7,9,1,0,3,0,0,1
PP Chawla,15,19,5,0,4,0,1,3
RJ Harris,1,2,0,0,0,0,0,0
P Kumar,7,3,1,0,2,0,2,3
P Awana,1,0,0,0,0,0,0,1
GC Smith,82,66,11,0,19,0,2,5
SA Asnodkar,59,43,4,0,24,0,2,5
YK Pathan,60,55,10,0,19,0,9,9
SR Watson,256,183,38,1,85,0,39,21
SR Tendulkar,63,66,14,1,19,0,2,3
DR Smith,27,21,6,0,11,0,3,1
PA Reddy,4,0,1,0,0,0,0,1
S Dhawan,20,17,3,0,8,0,0,3
KC Sangakkara,22,19,3,0,10,0,2,4
GH Vihari,5,4,0,0,0,0,0,1
KV Sharma,6,0,1,0,1,0,0,1
NLTC Perera,6,1,0,0,1,0,0,2
DJG Sammy,17,14,4,0,8,0,1,1
A Mishra,22,11,3,0,2,0,0,2
A Ashish Reddy,3,4,3,0,1,0,0,1
DW Steyn,3,2,1,0,2,0,1,0
MS Bisla,16,4,1,0,4,0,0,2
DPMD Jayawardene,43,31,1,0,12,0,2,6
Yuvraj Singh,31,22,4,1,8,0,7,3
IK Pathan,20,21,3,0,3,0,1,2
RS Bopara,4,8,0,0,0,0,0,0
Bipul Sharma,3,7,2,0,2,0,0,1
R Dravid,296,192,36,1,95,2,13,22
AM Rahane,220,240,28,4,77,0,9,15
STR Binny,46,47,10,2,17,0,8,4
V Sehwag,26,23,4,0,17,0,1,4
CM Gautam,2,0,1,0,0,0,0,1
DA Warner,28,22,2,1,8,0,1,2
BJ Rohrer,13,14,4,0,9,0,1,0
KM Jadhav,13,12,4,0,2,0,0,1
J Botha,62,81,22,1,12,0,2,7
LRPL Taylor,56,43,16,1,9,0,6,3
AL Menaria,67,65,7,0,11,0,10,10
AS Raut,20,28,4,0,4,0,4,1
DH Yagnik,30,14,7,0,10,0,2,3
RT Ponting,5,4,0,0,0,0,0,1
KD Karthik,25,15,6,0,4,0,0,2
RG Sharma,21,14,1,0,1,0,0,3
KA Pollard,22,10,1,0,3,0,1,3
AT Rayudu,20,20,3,0,3,0,0,4
R Dhawan,1,0,0,0,0,0,0,1
Harbhajan Singh,2,5,0,0,0,0,1,0
MG Johnson,4,3,0,0,2,0,0,1
SL Malinga,12,2,1,0,1,0,0,2
PP Ojha,1,2,0,0,0,0,0,0
DJ Jacobs,8,5,2,0,0,0,1,1
A Symonds,14,11,1,0,1,0,0,1
AG Murtaza,3,2,0,0,0,0,0,0
MJ Lumb,28,9,0,1,19,0,2,2
NV Ojha,28,19,2,1,6,0,2,4
JH Kallis,51,41,8,0,9,0,2,5
G Gambhir,29,37,6,1,16,0,2,3
JP Faulkner,2,8,4,0,0,0,0,1
SV Samson,30,26,4,2,12,0,2,3
BJ Hodge,68,99,25,1,23,0,10,11
OA Shah,30,30,7,1,6,0,3,4
SP Goswami,13,24,3,0,3,0,0,3
AA Chavan,2,3,0,0,1,0,0,0
KK Cooper,7,4,1,0,3,0,1,2
GB Hogg,2,7,1,0,1,0,0,1
VVS Laxman,6,2,1,0,1,0,0,0
PA Patel,13,16,4,0,2,0,0,2
RA Jadeja,47,49,12,1,12,0,4,5
RV Gomez,1,0,0,0,0,0,0,1
R Vinay Kumar,3,1,2,0,1,0,3,1
M Muralitharan,7,3,1,0,0,0,0,1
RP Singh,2,3,0,0,0,0,0,2
K Goel,14,2,0,0,3,0,2,1
JR Hopes,9,3,1,1,2,0,0,1
S Sohal,1,2,1,0,0,0,0,1
B Lee,10,4,1,0,3,0,2,3
WA Mota,0,1,0,0,0,0,0,0
A Mukund,8,11,2,0,1,0,0,1
CH Gayle,29,19,2,1,13,0,5,2
V Kohli,45,44,7,0,10,0,1,5
AB de Villiers,16,23,7,3,6,0,5,2
MC Henriques,10,4,2,0,2,0,1,1
SS Tiwary,9,5,3,0,3,0,0,1
R Rampaul,2,1,1,0,0,0,0,1
HH Gibbs,9,7,2,0,2,0,0,1
SB Styris,3,7,0,0,0,0,1,1
Shahid Afridi,2,1,0,0,0,0,0,1
SB Bangar,4,1,1,0,0,0,0,1
DB Ravi Teja,5,2,0,0,1,0,0,1
Y Venugopal Rao,21,13,6,0,7,0,5,1
S Sreesanth,1,1,0,0,0,0,0,0
TM Dilshan,40,34,5,0,19,0,2,1
MF Maharoof,6,1,3,0,2,0,4,1
VY Mahesh,1,0,0,0,0,0,0,0
S Vidyut,9,1,0,0,1,0,0,1
SP Fleming,2,0,0,0,0,0,0,1
SK Raina,28,28,7,0,13,0,0,4
S Badrinath,10,0,0,1,3,0,0,1
MS Dhoni,24,10,5,0,4,0,3,3
JA Morkel,15,15,6,0,5,0,3,1
Joginder Sharma,1,0,0,0,0,0,0,1
MS Gony,3,1,0,0,0,0,0,0
M Ntini,9,1,1,0,2,0,0,1
M Kaif,36,15,4,1,6,0,1,2
SK Warne,10,8,3,0,1,0,0,3
Sohail Tanvir,0,3,0,0,0,0,0,0
M Rawat,2,2,0,0,1,0,0,0
J Arunkumar,3,0,0,0,0,0,0,1
Misbah-ul-Haq,1,0,0,0,0,0,0,1
CL White,10,6,0,0,1,0,0,1
DT Patil,5,5,2,0,0,0,0,1
Z Khan,4,1,0,0,0,0,0,1
A Kumble,3,4,0,0,1,0,0,1
Abdur Razzak,2,0,0,0,0,0,0,0
PC Valthaty,8,5,0,0,2,0,0,1
SE Marsh,2,3,0,0,1,0,0,1
AM Nayar,11,11,3,0,3,0,1,2
Harmeet Singh,0,1,0,0,0,0,0,0
MEK Hussey,52,33,4,0,16,0,0,3
M Vijay,44,31,12,1,8,0,3,2
DJ Bravo,9,9,4,0,4,0,0,1
KP Pietersen,24,18,5,0,13,0,3,1
Y Nagar,4,3,1,0,1,0,0,0
ST Jayasuriya,21,12,4,1,4,0,0,2
RV Uthappa,50,28,6,0,18,0,2,4
SM Pollock,1,0,0,0,0,0,0,1
MK Pandey,25,17,1,0,7,0,0,4
YV Takawale,1,2,0,0,4,0,1,0
RR Raje,1,1,0,0,0,0,0,0
Salman Butt,5,1,1,0,1,0,0,1
SC Ganguly,18,18,2,1,4,0,2,3
AB Agarkar,9,2,1,0,1,0,2,1
LR Shukla,13,6,0,0,0,0,1,3
DB Das,14,9,2,0,1,0,1,2
WP Saha,1,1,0,0,0,0,0,1
Umar Gul,0,2,0,0,0,0,0,1
AB Dinda,2,1,0,0,0,0,0,1
I Sharma,0,1,0,0,0,0,0,0
MK Tiwary,21,28,5,1,8,0,0,2
EJG Morgan,17,12,3,1,3,0,3,1
R Bhatia,6,4,2,0,3,0,0,2
Mohammed Shami,6,3,1,0,0,0,0,1
SP Narine,1,2,0,0,0,0,0,1
JP Duminy,22,21,5,0,7,0,5,1
AG Paunikar,22,2,0,0,3,0,0,3
AA Jhunjhunwala,22,17,4,0,1,0,1,2
AC Voges,20,23,5,1,5,0,0,1
AJ Finch,26,10,4,0,8,0,1,2
UBT Chand,8,2,0,0,0,0,0,1
RE van der Merwe,1,2,0,0,0,0,0,0
AD Mascarenhas,4,3,0,0,0,0,1,1
Niraj Patel,8,15,4,1,3,0,1,1
A Singh,1,1,0,0,0,0,0,1
S Anirudha,3,2,0,0,1,0,2,0
BB McCullum,2,2,0,0,0,0,0,1
Iqbal Abdulla,1,1,0,0,0,0,0,0
DT Christian,4,10,1,1,2,0,1,0
FY Fazal,9,6,0,0,1,0,0,1
AP Dole,4,8,4,0,2,0,1,1
MR Marsh,9,7,1,0,2,0,3,1
AD Mathews,9,16,5,1,3,0,0,2
MA Agarwal,9,5,1,0,2,0,0,1
JD Ryder,6,3,2,0,3,0,0,2
AP Majumdar,5,1,0,0,2,0,0,1
CJ Ferguson,12,9,3,0,2,0,0,1
SPD Smith,10,15,1,0,5,0,0,1
B Kumar,2,3,0,0,0,0,0,1
M Kartik,1,8,0,0,0,0,0,0
R Sharma,4,0,0,0,0,0,0,2
A Nehra,3,3,1,0,1,0,0,0
Kamran Akmal,16,3,0,0,6,0,1,1
Harpreet Singh,7,11,1,0,0,0,0,1
M Manhas,6,10,2,0,1,0,1,1
NL McCullum,3,1,2,0,0,0,1,0
DS Lehmann,9,5,0,0,3,0,0,1
