,0,1,2,3,4,5,6,wickets
S Dhawan,9,4,0,1,4,0,0,2
DA Warner,49,48,13,1,19,0,9,3
EJG Morgan,17,20,2,0,4,0,1,3
MC Henriques,19,20,15,0,3,0,5,1
KV Sharma,5,4,2,0,2,0,0,1
RS Bopara,0,7,3,0,1,0,0,0
DPMD Jayawardene,17,7,1,0,2,0,0,2
V Sehwag,25,13,0,0,5,0,2,2
UBT Chand,28,20,5,0,6,0,0,2
BJ Rohrer,7,4,3,1,1,0,1,1
CH Gayle,3,1,0,0,0,0,0,1
V Kohli,12,24,3,0,6,0,0,0
AB de Villiers,7,0,1,0,1,0,0,1
KL Rahul,6,9,2,1,4,0,1,1
SR Watson,10,6,1,0,0,0,1,1
STR Binny,5,2,3,0,2,0,0,0
DJ Hooda,0,1,0,0,0,0,0,0
Yuvraj Singh,33,23,5,0,9,0,1,4
NV Ojha,5,6,2,0,0,0,1,0
B Kumar,1,3,1,0,2,0,0,1
KM Jadhav,14,25,4,0,8,0,4,1
IK Pathan,0,0,0,0,1,0,0,0
Q de Kock,45,37,5,0,14,0,2,4
RR Pant,8,15,3,0,3,0,0,1
KK Nair,26,28,5,0,8,0,4,2
SV Samson,5,8,1,0,1,0,1,1
SW Billings,3,2,1,0,0,0,0,1
P Negi,11,9,1,0,0,0,0,1
CR Brathwaite,5,3,0,0,2,0,0,2
CH Morris,5,7,4,0,3,0,0,1
J Yadav,2,5,0,0,0,0,0,0
JP Duminy,13,19,4,0,2,0,0,3
RV Uthappa,15,10,4,1,4,0,0,1
AJ Finch,17,8,3,1,5,0,0,1
LJ Wright,8,7,0,0,3,0,0,1
SPD Smith,2,3,0,0,2,0,1,0
M Manhas,2,2,0,0,0,0,0,0
SS Iyer,24,18,3,0,10,0,1,1
JA Morkel,5,2,0,0,0,0,1,1
DR Smith,17,4,0,0,2,0,1,1
BB McCullum,14,5,1,0,1,0,0,1
SK Raina,2,3,2,0,1,0,0,1
F du Plessis,5,13,2,0,3,0,0,1
MS Dhoni,12,7,1,0,3,0,1,1
DJ Bravo,5,2,0,0,0,0,1,1
RA Jadeja,1,3,0,0,0,0,0,0
SS Tiwary,14,6,3,0,2,0,1,0
MS Bisla,7,0,0,0,1,0,0,2
YK Pathan,9,2,2,0,2,0,1,1
JH Kallis,10,4,0,0,2,0,0,1
DB Das,18,8,0,0,1,0,1,1
R Bhatia,11,9,3,1,2,0,0,0
S Narwal,6,5,1,0,4,0,0,1
B Lee,1,2,1,0,0,0,2,0
