,0,1,2,3,4,5,6,wickets
G Gambhir,31,19,4,1,4,0,0,3
MS Bisla,6,3,0,0,0,0,0,1
JH Kallis,28,26,9,0,8,0,3,3
MK Pandey,34,27,8,0,8,0,4,3
SA Yadav,11,15,6,1,9,0,2,3
Shakib Al Hasan,6,10,5,0,3,0,0,3
RV Uthappa,18,8,2,0,2,0,0,3
R Vinay Kumar,1,0,0,0,0,0,0,1
PP Chawla,3,0,0,0,0,0,0,1
SP Narine,4,5,1,0,0,0,0,1
SR Watson,20,8,1,1,2,0,2,2
SPD Smith,0,1,2,0,0,0,0,0
DR Smith,26,33,4,0,9,0,3,2
BB McCullum,27,18,4,0,5,0,5,2
SK Raina,18,24,11,0,7,0,1,2
F du Plessis,4,8,3,0,1,0,1,1
MS Dhoni,4,8,6,0,5,0,3,2
RA Jadeja,1,1,0,0,0,0,1,1
M Manhas,2,0,1,1,2,0,0,1
R Ashwin,0,1,0,0,0,0,0,0
AJ Finch,4,0,1,0,0,0,0,1
DA Warner,9,22,3,0,1,0,0,1
S Dhawan,15,16,2,0,3,0,1,1
KL Rahul,8,8,1,0,1,0,1,1
DJG Sammy,6,6,0,0,0,0,0,1
Y Venugopal Rao,3,4,4,0,1,0,0,0
KV Sharma,3,0,2,0,0,0,0,1
MA Agarwal,5,2,0,0,0,0,0,1
M Vijay,7,3,0,0,2,0,0,1
KD Karthik,9,9,2,0,2,0,0,1
MK Tiwary,2,0,0,0,0,0,0,1
JP Duminy,5,5,2,2,0,0,0,1
LRPL Taylor,4,2,0,0,1,0,0,1
JDS Neesham,4,4,5,0,2,0,0,1
S Nadeem,5,3,0,0,0,0,0,1
Mohammed Shami,3,1,0,0,0,0,0,1
JD Unadkat,4,1,0,0,0,0,0,0
AM Rahane,33,22,10,0,10,0,0,2
KK Nair,7,3,1,1,0,0,0,1
SV Samson,10,5,0,0,0,0,0,2
AM Nayar,14,4,0,1,2,0,0,1
STR Binny,6,16,5,0,4,0,1,0
BJ Hodge,7,1,0,0,0,0,0,1
R Bhatia,2,0,0,0,1,0,0,1
JP Faulkner,0,0,0,0,2,0,0,0
DJ Bravo,0,2,0,0,0,0,1,0
PA Patel,0,1,0,0,0,0,0,0
YV Takawale,3,0,0,0,0,0,0,1
V Kohli,13,9,0,0,3,0,0,2
Yuvraj Singh,5,1,1,0,0,0,0,1
AB de Villiers,1,0,0,0,0,0,0,1
S Rana,6,3,0,0,0,0,0,1
JA Morkel,10,1,1,0,1,0,0,1
MA Starc,7,4,3,0,2,0,0,1
R Rampaul,6,5,1,0,0,0,1,1
AB Dinda,3,0,0,0,0,0,0,1
CA Pujara,7,7,1,0,3,0,0,1
V Sehwag,15,12,5,0,7,0,1,3
GJ Maxwell,20,14,8,0,17,0,2,2
AR Patel,5,7,1,0,0,0,0,2
DA Miller,15,18,6,0,5,0,3,1
GJ Bailey,8,12,2,0,3,0,0,1
WP Saha,5,2,1,0,1,0,1,1
R Dhawan,8,6,1,1,2,0,0,0
MG Johnson,1,0,0,0,0,0,0,1
L Balaji,2,0,0,0,0,0,0,1
Sandeep Sharma,3,2,0,0,0,0,0,0
MEK Hussey,11,1,1,0,0,0,0,1
AP Tare,10,8,1,0,2,0,1,1
AT Rayudu,13,14,9,0,4,0,0,1
RG Sharma,3,11,5,0,0,0,1,1
KA Pollard,5,2,2,0,0,0,0,0
CJ Anderson,6,2,0,0,0,0,0,1
Harbhajan Singh,2,0,0,0,0,0,0,1
CM Gautam,4,1,1,0,1,0,0,1
CA Lynn,13,5,0,0,2,0,0,1
YK Pathan,2,7,0,0,0,0,0,1
UT Yadav,2,2,0,0,0,0,0,1
M Morkel,1,2,1,0,0,0,0,0
