,0,1,2,3,4,5,6,wickets
S Sohal,9,5,1,0,0,0,3,1
KC Sangakkara,2,0,0,0,0,0,0,1
SM Katich,12,10,3,0,3,0,1,1
DPMD Jayawardene,16,18,3,0,7,0,0,0
Yuvraj Singh,7,8,1,0,1,0,0,1
IK Pathan,3,11,0,0,2,0,0,0
ST Jayasuriya,39,19,6,1,9,1,6,3
SR Tendulkar,28,24,2,1,6,0,4,3
Harbhajan Singh,4,1,1,0,1,0,2,2
JP Duminy,31,54,12,1,7,0,5,0
AM Nayar,11,12,4,0,1,0,2,2
DJ Bravo,8,4,0,0,1,0,0,2
S Dhawan,4,2,3,0,1,0,0,1
SS Tiwary,0,2,1,0,0,0,0,0
HH Gibbs,6,2,1,0,1,0,0,1
AC Gilchrist,23,5,1,0,5,0,2,1
AA Bilakhia,4,1,0,0,0,0,0,1
RG Sharma,12,18,0,0,2,0,2,1
TL Suman,9,12,6,1,2,0,1,0
DR Smith,4,3,0,0,1,0,0,1
BB McCullum,25,10,3,0,1,0,0,2
CH Gayle,16,7,2,0,3,0,1,2
BJ Hodge,21,28,4,0,13,0,1,1
SC Ganguly,17,21,2,1,4,0,2,2
Yashpal Singh,1,6,1,0,0,0,0,1
AN Ghosh,1,0,0,0,0,0,0,1
LR Shukla,8,0,1,0,1,0,0,1
I Sharma,0,2,0,0,1,0,0,0
BAW Mendis,1,0,0,0,0,0,0,1
AB Dinda,1,0,0,0,0,0,0,1
MN van Wyk,4,4,2,0,1,0,1,0
P Kumar,3,0,0,0,0,0,0,1
JH Kallis,17,6,1,0,7,0,0,3
RV Uthappa,16,8,2,1,3,0,0,3
LRPL Taylor,27,20,5,0,3,0,1,4
KP Pietersen,12,8,2,0,2,1,2,2
R Dravid,10,16,3,0,2,0,0,1
V Kohli,31,23,2,0,5,0,1,3
R Bishnoi,1,0,0,0,0,0,0,1
R Vinay Kumar,9,6,3,0,0,0,0,2
DW Steyn,3,0,0,0,0,0,0,1
A Kumble,6,4,0,0,1,0,0,0
MV Boucher,23,24,12,0,3,0,4,1
B Akhil,2,2,0,0,0,0,1,1
Pankaj Singh,0,1,0,0,0,0,0,0
PA Patel,10,12,2,0,2,0,1,2
SK Raina,18,16,1,0,3,0,3,3
ML Hayden,39,32,10,1,13,0,3,0
S Badrinath,12,8,0,0,2,0,1,1
MS Dhoni,13,19,3,0,2,0,1,1
A Flintoff,3,8,0,0,2,0,1,0
JA Morkel,1,1,0,0,1,0,0,1
AM Rahane,15,24,8,0,4,0,1,0
GC Smith,2,0,0,0,0,0,0,1
SA Asnodkar,2,0,0,0,0,0,0,1
LA Carseldine,16,9,3,0,6,0,0,1
NV Ojha,6,0,0,0,0,0,0,1
RA Jadeja,11,4,1,0,0,0,1,1
SK Warne,6,9,0,0,0,0,2,1
AS Raut,2,15,1,1,4,0,0,0
YK Pathan,6,4,0,0,2,0,2,1
SM Harwood,5,1,1,0,0,0,0,0
G Gambhir,8,8,2,0,1,0,0,1
V Sehwag,4,1,0,0,0,0,1,1
TM Dilshan,13,23,6,0,5,0,2,0
AB de Villiers,6,13,4,0,0,0,0,1
KD Karthik,6,2,0,0,1,0,1,1
M Manhas,2,5,3,0,3,0,0,0
RE van der Merwe,2,3,0,0,0,0,0,1
