,0,1,2,3,4,5,6,wickets
ST Jayasuriya,15,1,0,0,2,0,0,3
SR Tendulkar,33,28,2,1,12,0,1,2
JP Duminy,23,21,2,0,9,0,0,2
PR Shah,14,7,3,0,4,0,2,2
DJ Bravo,40,20,7,1,7,0,3,1
AM Nayar,5,1,2,0,0,0,0,2
Harbhajan Singh,4,2,1,0,2,0,0,2
SS Tiwary,3,1,1,0,0,0,0,1
RR Raje,1,5,0,0,0,0,1,0
DS Kulkarni,2,7,0,0,0,0,0,0
GC Smith,37,28,1,0,9,0,0,2
NV Ojha,14,14,4,0,3,0,3,0
LA Carseldine,4,2,0,1,1,0,0,1
YK Pathan,25,15,9,1,8,0,6,2
RA Jadeja,17,26,5,0,3,0,1,2
AC Gilchrist,40,25,4,0,16,0,6,4
HH Gibbs,31,18,3,0,3,0,4,4
AA Bilakhia,28,18,7,0,4,0,0,2
RG Sharma,31,40,3,0,5,0,1,3
TL Suman,25,24,5,1,6,0,3,3
DR Smith,13,16,3,0,6,0,3,2
Y Venugopal Rao,9,24,5,0,3,0,1,3
Shoaib Ahmed,3,0,0,0,0,0,0,1
RP Singh,2,2,0,0,0,0,0,0
PP Ojha,0,1,0,0,0,0,0,1
S Sohal,15,3,2,0,5,0,3,1
K Goel,22,18,2,0,3,0,0,2
SM Katich,10,6,4,0,3,0,4,2
Yuvraj Singh,21,22,4,0,7,0,2,1
DPMD Jayawardene,2,16,2,0,3,0,2,0
PA Patel,20,7,1,1,4,0,0,1
GJ Bailey,12,10,2,0,4,0,0,2
SK Raina,38,44,8,0,17,0,9,3
MS Dhoni,20,32,9,0,11,0,4,0
JA Morkel,3,7,0,0,2,0,2,0
A Symonds,12,12,3,0,3,0,2,2
Mohammad Ashraful,10,2,0,0,0,0,0,1
AM Rahane,20,17,4,0,5,0,2,2
DB Ravi Teja,2,1,0,1,0,0,0,0
RJ Harris,2,2,2,1,0,0,0,0
RJ Quiney,26,12,0,0,5,0,0,2
SA Asnodkar,8,5,0,0,1,0,2,2
AD Mascarenhas,4,2,1,0,1,0,0,1
SK Warne,8,3,0,0,0,0,0,2
M Rawat,2,4,0,0,1,0,0,0
MM Patel,1,0,0,0,0,0,0,1
SK Trivedi,1,2,0,0,0,0,0,1
G Gambhir,30,18,5,0,11,0,0,4
DA Warner,3,5,0,0,1,0,1,2
V Sehwag,30,25,9,0,16,0,3,4
TM Dilshan,60,42,7,0,14,0,6,3
AB de Villiers,31,33,4,0,7,0,3,4
R Bhatia,6,2,0,0,1,0,0,2
A Mishra,5,1,1,0,1,0,1,1
KD Karthik,16,22,4,0,3,0,2,3
JD Ryder,8,8,1,0,3,0,0,1
JH Kallis,39,12,2,1,4,0,2,3
RV Uthappa,18,10,1,0,3,0,0,2
LRPL Taylor,8,13,3,0,7,1,5,1
R Dravid,10,12,1,0,1,0,0,3
MV Boucher,7,7,3,0,0,0,1,1
BB McCullum,42,37,7,0,21,0,5,1
SC Ganguly,15,4,0,0,1,0,0,2
BJ Hodge,12,17,7,0,4,0,4,1
DJ Hussey,8,13,3,1,3,0,2,1
WP Saha,2,9,3,0,2,0,2,0
PJ Sangwan,1,1,0,0,0,0,0,1
DL Vettori,10,13,2,0,3,0,0,1
M Manhas,6,6,3,0,2,0,1,0
W Jaffer,5,2,1,0,1,0,0,1
V Kohli,12,14,2,0,1,0,2,1
RE van der Merwe,15,14,1,0,4,0,1,2
D du Preez,5,6,2,0,0,0,0,1
P Kumar,2,1,0,0,0,0,1,1
R Vinay Kumar,7,4,1,0,0,0,1,1
IK Pathan,3,0,0,0,0,0,0,1
KC Sangakkara,13,6,1,0,0,0,0,2
WA Mota,3,4,0,0,0,0,0,1
LA Pomersbach,3,3,1,0,0,0,0,1
B Lee,7,4,0,0,1,0,0,1
S Sreesanth,10,1,0,0,0,0,0,0
ML Hayden,28,14,4,0,8,0,6,2
S Badrinath,12,11,1,0,4,0,0,2
JDP Oram,4,2,0,0,0,0,0,1
AN Ghosh,4,1,1,0,1,0,0,1
AD Mathews,4,8,0,0,2,0,0,1
MK Pandey,24,22,14,0,10,0,4,0
PC Valthaty,4,1,0,0,0,0,0,1
