,0,1,2,3,4,5,6,wickets
VVS Laxman,8,2,0,0,1,0,0,1
AC Gilchrist,17,7,0,0,4,0,3,3
RG Sharma,39,40,10,0,15,0,2,5
A Symonds,33,23,3,0,5,0,2,2
Anirudh Singh,6,5,0,0,1,0,0,1
DR Smith,5,7,2,0,0,0,1,1
AA Bilakhia,2,2,0,0,0,0,0,1
RJ Harris,4,4,2,0,0,0,1,1
RP Singh,4,1,1,0,0,0,0,1
MK Pandey,1,0,0,0,0,0,0,1
R Dravid,14,11,3,0,8,0,0,1
JH Kallis,18,19,2,0,1,0,0,1
RV Uthappa,5,12,2,0,0,0,3,1
LRPL Taylor,4,1,0,0,0,0,0,1
V Kohli,2,1,1,0,0,0,0,1
CL White,1,0,2,0,0,0,0,1
R Vinay Kumar,6,0,2,0,0,0,0,1
DW Steyn,1,0,0,0,0,0,0,1
A Kumble,2,2,0,0,0,0,0,0
KP Appanna,0,1,0,0,0,0,0,1
MD Mishra,22,16,5,0,3,0,4,1
TL Suman,21,10,7,1,4,0,2,2
HH Gibbs,6,2,0,0,1,0,1,1
B Sumanth,0,2,2,0,0,0,0,0
MJ Lumb,6,1,0,0,2,0,1,1
NV Ojha,5,1,0,0,0,0,0,1
SR Watson,10,16,6,0,3,0,3,1
FY Fazal,9,12,4,0,4,0,0,1
YK Pathan,3,3,1,0,0,0,0,1
AA Jhunjhunwala,2,3,2,0,1,0,0,1
AS Raut,3,0,0,0,0,0,0,1
SK Warne,3,1,0,0,0,0,0,0
M Morkel,3,3,0,0,1,0,0,1
AP Dole,3,0,0,0,1,0,0,1
SK Trivedi,4,1,0,0,2,0,0,1
M Vijay,2,8,1,1,1,0,1,0
ML Hayden,10,5,1,0,3,0,0,1
SK Raina,15,20,2,0,4,0,2,2
MS Dhoni,7,5,1,0,0,0,0,1
MEK Hussey,5,4,2,0,0,0,0,1
S Badrinath,3,2,0,0,1,0,0,1
R Ashwin,1,5,0,0,0,0,0,1
T Thushara,3,2,3,0,0,0,0,1
DE Bollinger,2,0,1,0,0,0,0,0
