,Average,No_of_matches,Runs
GC Smith,40,11,441
SA Asnodkar,34,9,311
Sohail Tanvir,7,5,36
SR Watson,31,15,472
M Kaif,12,14,176
YK Pathan,29,15,435
RA Jadeja,15,9,135
SK Warne,10,7,70
M Rawat,4,7,34
SK Trivedi,1,3,5
G Gambhir,38,14,534
V Sehwag,29,14,406
S Dhawan,24,14,340
TM Dilshan,14,7,104
MF Maharoof,15,8,125
Shoaib Malik,10,5,52
PA Patel,23,13,302
ML Hayden,47,4,189
MEK Hussey,56,3,168
SK Raina,30,14,421
MS Dhoni,29,14,414
AC Gilchrist,31,14,436
HH Gibbs,18,9,167
RG Sharma,33,12,404
Y Venugopal Rao,28,10,288
LPC Silva,13,3,40
SB Styris,14,8,112
ST Jayasuriya,36,14,514
SR Tendulkar,26,7,188
RV Uthappa,22,14,320
DJ Thornely,9,4,39
SE Marsh,56,11,616
JR Hopes,20,11,221
RR Sarwan,18,4,73
Yuvraj Singh,21,14,299
DPMD Jayawardene,14,12,179
IK Pathan,13,10,131
Kamran Akmal,21,6,128
T Kohli,5,2,10
K Goel,12,6,76
KC Sangakkara,35,9,320
S Sohal,2,2,4
B Lee,5,3,17
PP Chawla,12,7,90
S Sreesanth,0,2,0
VRV Singh,2,2,4
U Kaul,0,1,0
VVS Laxman,25,6,155
JH Kallis,18,11,199
B Chipli,6,3,20
SP Goswami,27,3,82
R Dravid,26,14,371
Misbah-ul-Haq,14,8,117
CL White,14,8,114
B Akhil,6,7,46
P Kumar,9,12,112
Z Khan,4,7,34
L Ronchi,8,4,34
AM Rahane,2,2,4
SM Pollock,18,8,147
AM Nayar,20,10,206
DJ Bravo,25,7,178
MA Khote,8,3,24
SP Fleming,19,10,196
V Kohli,13,12,165
MV Boucher,22,10,225
R Vinay Kumar,6,4,25
A Kumble,3,4,13
DS Lehmann,9,2,18
D Salunkhe,11,3,33
W Jaffer,19,6,115
DT Patil,6,2,13
DW Steyn,1,2,2
AB de Villiers,15,6,95
MK Tiwary,14,7,104
A Mishra,12,3,37
VY Mahesh,3,5,15
PJ Sangwan,1,2,2
DR Smith,15,3,45
PR Shah,8,4,34
SD Chitnis,9,2,18
A Nehra,1,3,3
CRD Fernando,2,1,2
VS Yeligati,2,1,2
Salman Butt,27,7,193
A Chopra,8,5,42
SC Ganguly,26,13,349
DJ Hussey,24,13,319
T Taibu,10,3,31
LR Shukla,13,12,163
WP Saha,15,10,159
Iqbal Abdulla,1,1,1
WA Mota,13,2,26
S Vidyut,18,8,145
JA Morkel,24,10,241
CK Kapugedera,5,3,16
S Badrinath,17,11,192
RR Powar,28,1,28
JDP Oram,9,2,18
Shahid Afridi,9,9,81
SB Bangar,7,6,47
DB Ravi Teja,18,6,109
RP Singh,3,9,27
PP Ojha,0,3,2
KD Karthik,18,8,145
R Bhatia,11,3,34
LA Pomersbach,30,5,152
S Chanderpaul,8,3,25
LRPL Taylor,37,4,149
Mohammad Asif,1,2,3
GD McGrath,2,2,4
H Das,2,1,2
DNT Zoysa,5,2,11
Joginder Sharma,8,2,16
MS Gony,7,5,35
M Muralitharan,0,1,0
M Ntini,5,2,11
J Arunkumar,7,3,23
A Mukund,0,1,0
BB McCullum,47,4,188
RT Ponting,9,4,39
Mohammad Hafeez,8,8,64
AB Agarkar,9,6,54
M Kartik,10,3,30
I Sharma,2,5,11
Niraj Patel,25,4,103
Younis Khan,3,1,3
Pankaj Singh,2,2,5
Abdur Razzak,0,1,0
YV Takawale,17,4,70
RR Raje,2,3,8
MM Patel,0,1,0
SS Tiwary,13,2,26
Harbhajan Singh,10,3,30
DS Kulkarni,2,1,2
D Kalyankrishna,3,1,3
AA Noffke,9,1,9
SB Joshi,3,2,6
AS Yadav,8,6,49
WPUJC Vaas,5,4,21
MK Pandey,1,2,3
DB Das,17,6,103
Umar Gul,9,4,39
S Anirudha,1,1,1
BJ Hodge,4,3,12
AB Dinda,1,2,2
A Symonds,53,3,161
L Balaji,0,1,0
AD Mascarenhas,9,1,9
Shoaib Akhtar,2,1,2
TM Srivastava,4,2,8
PM Sarvesh Kumar,1,1,1
DP Vijaykumar,1,1,1
SM Katich,48,2,96
