,Average_wickets,No_of_matches,Wickets
Z Khan,1.1333333333333333,15,17
S Aravind,0.0,1,0
R Vinay Kumar,1.3571428571428572,14,19
DL Vettori,0.5555555555555556,9,5
M Muralitharan,1.5,10,15
CH Gayle,0.0,3,0
MN Samuels,1.0,8,8
WD Parnell,0.8333333333333334,6,5
A Nehra,0.8461538461538461,13,11
B Kumar,0.7272727272727273,11,8
M Kartik,0.3636363636363637,11,4
SC Ganguly,0.5,4,2
S Dhawan,0.75,4,3
DW Steyn,1.5,12,18
V Pratap Singh,1.1111111111111112,9,10
Anand Rajan,0.75,4,3
A Ashish Reddy,1.2222222222222223,9,11
A Mishra,0.9285714285714286,14,13
MM Patel,1.25,12,15
RP Singh,0.9090909090909091,11,10
SL Malinga,1.5714285714285714,14,22
KA Pollard,1.1428571428571428,14,16
Harbhajan Singh,0.375,16,6
DR Smith,0.3333333333333333,6,2
DS Kulkarni,3.0,2,6
JEC Franklin,0.6666666666666666,9,6
RR Powar,0.0,1,0
P Kumar,0.5625,16,9
PP Chawla,1.0,16,16
P Awana,1.4166666666666667,12,17
Azhar Mahmood,1.2727272727272727,11,14
DJ Hussey,0.5,6,3
AA Chavan,0.875,8,7
SW Tait,1.0,6,6
SR Watson,0.8571428571428571,7,6
J Botha,0.8181818181818182,11,9
STR Binny,0.5,6,3
SK Trivedi,0.9285714285714286,14,13
A Singh,1.1111111111111112,9,10
GB Hogg,1.1111111111111112,9,10
AL Menaria,0.3333333333333333,3,1
RJ Harris,1.6,5,8
PP Ojha,1.0,9,9
NLTC Perera,0.0,2,0
P Parameswaran,1.6666666666666667,3,5
HV Patel,0.8181818181818182,11,9
TM Dilshan,0.0,5,0
BW Hilfenhaus,1.5555555555555556,9,14
JA Morkel,0.8666666666666667,15,13
DJ Bravo,0.8333333333333334,18,15
SB Jakati,0.6,15,9
RA Jadeja,0.8571428571428571,14,12
R Ashwin,0.7777777777777778,18,14
Ankit Sharma,0.4444444444444444,9,4
JP Duminy,0.16666666666666666,6,1
AB McDonald,1.6666666666666667,3,5
KP Appanna,1.0,6,6
AUK Pathan,0.0,1,0
AD Mascarenhas,1.75,4,7
Harmeet Singh,1.0,7,7
BA Bhatt,0.4,5,2
DE Bollinger,1.5,6,9
KMDN Kulasekara,1.0,4,4
AB Dinda,1.2857142857142858,7,9
R Sharma,0.8181818181818182,11,9
JD Ryder,0.25,4,1
SK Raina,0.2857142857142857,7,2
F du Plessis,0.0,1,0
Pankaj Singh,1.1666666666666667,6,7
A Chandila,1.25,4,5
KK Cooper,1.6666666666666667,6,10
R Shukla,0.0,1,0
RJ Peterson,0.75,4,3
Shakib Al Hasan,1.5,8,12
B Lee,0.7,10,7
SP Narine,1.6,15,24
JH Kallis,0.9375,16,15
R Bhatia,0.8125,16,13
IK Pathan,0.4705882352941176,17,8
UT Yadav,1.1176470588235294,17,19
M Morkel,1.5625,16,25
KP Pietersen,0.0,3,0
RE van der Merwe,0.6666666666666666,3,2
S Nadeem,0.6666666666666666,12,8
L Balaji,1.375,8,11
YK Pathan,0.25,12,3
AB Agarkar,0.75,4,3
MJ Clarke,0.4,5,2
AD Mathews,0.7777777777777778,9,7
AA Jhunjhunwala,0.3333333333333333,3,1
J Theron,1.0,2,2
DJ Harris,0.0,2,0
M de Lange,1.0,3,3
BJ Hodge,0.5,2,1
SPD Smith,0.0,1,0
CJ McKay,0.5,2,1
VY Mahesh,0.75,4,3
DT Christian,1.1428571428571428,7,8
RN ten Doeschate,1.0,1,1
JP Faulkner,1.5,2,3
Bipul Sharma,0.0,3,0
PC Valthaty,0.0,1,0
MS Gony,0.5,6,3
Y Venugopal Rao,0.0,2,0
VR Aaron,1.0,8,8
P Negi,1.1666666666666667,6,7
A Mithun,0.0,1,0
J Syed Mohammad,0.0,2,0
V Sehwag,0.0,3,0
Y Nagar,0.0,1,0
Iqbal Abdulla,0.5,8,4
AC Thomas,0.75,4,3
LJ Wright,0.0,1,0
AD Russell,0.25,4,1
AM Nayar,0.0,1,0
RG Sharma,0.0,1,0
Sunny Gupta,0.0,1,0
LR Shukla,0.5,2,1
K Upadhyay,0.0,1,0
AG Murtaza,0.0,1,0
TP Sudhindra,0.3333333333333333,3,1
AN Ahmed,0.0,1,0
RR Bhatkal,0.0,1,0
V Kohli,0.0,2,0
DAJ Bracewell,3.0,1,3
GJ Maxwell,0.5,2,1
PJ Sangwan,1.0,1,1
CL White,0.0,2,0
JD Unadkat,0.0,1,0
