Player,Runs_scored,Balls,Overs,Runs_given,Wickets
SR Watson,0,0,0,0,0
M Vijay,0,0,0,0,0
SK Raina,0,0,0,0,0
F du Plessis,0,0,0,0,0
KM Jadhav,0,0,0,0,0
MS Dhoni,0,0,0,0,0
DJ Bravo ,0,0,0,0,0
RA Jadeja,0,0,0,0,0
Imran Tahir,0,0,0,0,0
SN Thakur,0,0,0,0,0
DL Chahar,0,0,0,0,0
KV Sharma  ,0,0,0,0,0
AT Rayudu,0,0,0,0,0
Harbhajan Singh,0,0,0,0,0
Mark Wood,0,0,0,0,0
SW Billings,0,0,0,0,0
Mitchell Santner,0,0,0,0,0
Lungisani Ngidi,0,0,0,0,0
KM Asif,0,0,0,0,0
Kshitiz Sharma ,0,0,0,0,0
Monu Singh,0,0,0,0,0
Jagadeesan Narayan ,0,0,0,0,0
Dhruv Shorey ,0,0,0,0,0
Kanishk Seth,0,0,0,0,0
Chaitanya Bishnoi,0,0,0,0,0
