Player,Runs_scored,Balls,Overs,Runs_given,Wickets
C Munro,0,0,0,0,0
Prithvi Shaw,0,0,0,0,0
G Gambhir,0,0,0,0,0
RR Pant,0,0,0,0,0
SS Iyer,0,0,0,0,0
GJ Maxwell,0,0,0,0,0
CH Morris,0,0,0,0,0
V Shankar,0,0,0,0,0
A Mishra,0,0,0,0,0
Mohammed Shami,0,0,0,0,0
TA Boult,0,0,0,0,0
K Rabada,0,0,0,0,0
S Nadeem,0,0,0,0,0
R Tewatia,0,0,0,0,0
JJ Roy ,0,0,0,0,0
DT Christian ,0,0,0,0,0
NV Ojha ,0,0,0,0,0
Gurkeerat Singh ,0,0,0,0,0
Avesh Khan ,0,0,0,0,0
Abhishek Sharma ,0,0,0,0,0
J Yadav ,0,0,0,0,0
Sandeep Lamichhane ,0,0,0,0,0
Sayan Ghosh ,0,0,0,0,0
HV Patel ,0,0,0,0,0
Manjot Kalra ,0,0,0,0,0
