Player,Runs_scored,Balls,Overs,Runs_given,Wickets
Evin Lewis,0,0,0,0,0
Ishan Kishan,0,0,0,0,0
RG Sharma ,0,0,0,0,0
SA Yadav ,0,0,0,0,0
KA Pollard,0,0,0,0,0
HH Pandya ,0,0,0,0,0
KH Pandya,0,0,0,0,0
RD Chahar ,0,0,0,0,0
JJ Bumrah ,0,0,0,0,0
PJ Cummins,0,0,0,0,0  
Mustafizur Rahman  ,0,0,0,0,0
BCJ Cutting ,0,0,0,0,0
Pradeep Sangwan ,0,0,0,0,0
Jason Behrendorff ,0,0,0,0,0
JP Duminy ,0,0,0,0,0
SS Tiwary ,0,0,0,0,0
Tajinder Dhillon ,0,0,0,0,0
Akila Dhananjaya ,0,0,0,0,0
Siddhesh Lad ,0,0,0,0,0
AP Tare,0,0,0,0,0 
Mayank Markande ,0,0,0,0,0
Anukul Roy ,0,0,0,0,0
Sharad Lumba ,0,0,0,0,0
Mohsin Khan ,0,0,0,0,0
MD Nidheesh ,0,0,0,0,0
MD Dinesan ,0,0,0,0,0
